file,page,engine,depth_m,pressure_kgcm2,line
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,700,148.2,1000 700 148.2 45.5 .0910 NIVEL AGUA 2130 m | 1500 862 1
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,862,182.5,1500 862 182.5 34.3 .0686 TIEMPO CERRADO 40 DIAS | 1930 
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,1020,215.9,1930 1020 215.9 37.2 .0865 TEMPERATURA BOCAPOZO 29 ℃ | 21
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,1087,230.1,2130 1087 230.1 14.2 .0710 TEMPERATURA MAXIMA 94 C | 2330
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,1190,251.9,2330 1190 251.9 21.8 .1090 INSTRUMENTO 19359-N | Kg/cm? | M
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,2337,252.7,-plg | 2337 252.7 NIV.MED.PERP..1O9O GRADIENTE YACIMIENTO
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,386,81.7,m) | 0 386 81.7 PRESIONT.P 81.7 Kg/cm2 | 250 403 85.3 3.6
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,403,85.3, | 250 403 85.3 3.6 .0144 PRESIONT.R Kg/cm² | SIN CONEX. | 
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,473,100.1, | 500 473 100.1 14.8 .0592 NIVELACEITE m | 329 | 1000 662 1
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,662,140.1,1000 662 140.1 40.0 0800 NIVEL AGUA 1930 m. | 1500 841 1
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,841,178.0,1500 841 178.0 37.9 .0758 TIEMPO CERRADO | 32 DIAS | 1930 
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,992,210.0,1930 992 210.0 32.0 TEMPERATURA BOCAPOZO | 32 | 2130 1084 
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,1084,229.5,2130 1084 229.5 19.5 .0975 TEMPERATURA MAXIMA 94 | 2330 1
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,1179,249.6,2330 1179 249.6 201 1005 INSTRUMENTO 19359-N | Kg/cmn | MOD
"Tecolutla-6 Static Gradient Sep 3, 1971.pdf",1,rapidocr,2337,250.3,-plg | 2337 250.3 NIV.MED.PERP. 1005 TUB.PROD.DE 00MB.233
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,tesseract,2337,250.7,"mire | 2337 250.7 |NIV.MED, PERP., | .1015 | SRADIENTE YA"
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,391,82.8,²/m） | 391 82.8 PRESIONT.P 82.8Kg/cm² | 250 403 85.3 2.5 
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,403,85.3, | 250 403 85.3 2.5 .0100 PRESION T.R. SINCONEX. Kg/cm?
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,473,100.1, | 500 473 100.1 14.8 .0592 NIVEL ACEITE 322 m | 1000 662 
