Bid Royalty,Opex,Capital,Overall Rate,Commodity Price,Oil (Mbbl),Gas (MMcf),NGL & Cond (Mbbl),Res. (mboe),NPV10 (M$),ROR (%),Capital (M$),Sensitivity,PI ($/$),F&D ($/boe),Res Value ($/boe),,Range,
0.15,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,544055.565316985,0.6559956874018544,124100.0,Opex,=J42/L42,=L42/I42,=J42/I42,,,
0.15,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,534120.9512211741,0.6497412960413929,124100.0,Opex,=J43/L43,=L43/I43,=J43/I43,,,
0.15,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,524186.33712536393,0.6434460440432792,124100.0,Opex,=J44/L44,=L44/I44,=J44/I44,,,
0.15,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,514251.7230295535,0.6371080779957854,124100.0,Opex,=J45/L45,=L45/I45,=J45/I45,,,
0.15,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,504317.1089337425,0.6307254905522122,124100.0,Opex,=J46/L46,=L46/I46,=J46/I46,,,
0.15,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,542114.4065989781,0.7209392724457713,99280.0,Capital,=J47/L47,=L47/I47,=J47/I47,,,
0.15,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,533150.3718621711,0.6801350670989423,111690.0,Capital,=J48/L48,=L48/I48,=J48/I48,,,
0.15,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,524186.33712536393,0.6434460440432792,124100.0,Capital,=J49/L49,=L49/I49,=J49/I49,,,
0.15,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,515222.30238855694,0.6102273717052205,136510.0,Capital,=J50/L50,=L50/I50,=J50/I50,,,
0.15,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,506258.26765174983,0.5799717927301202,148920.0,Capital,=J51/L51,=L51/I51,=J51/I51,,,
0.15,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,375539.24279293354,0.5427307407722699,124100.0,Overall Rate,=J52/L52,=L52/I52,=J52/I52,,,
0.15,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,448467.00115065544,0.5937440604867223,124100.0,Overall Rate,=J53/L53,=L53/I53,=J53/I53,,,
0.15,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,524186.33712536393,0.6434460440432792,124100.0,Overall Rate,=J54/L54,=L54/I54,=J54/I54,,,
0.15,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,602628.07626376,0.6904259419874661,124100.0,Overall Rate,=J55/L55,=L55/I55,=J55/I55,,,
0.15,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,683485.2098055818,0.7244416073543407,124100.0,Overall Rate,=J56/L56,=L56/I56,=J56/I56,,,
0.15,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,373605.034650835,0.5427026489294446,124100.0,Commodity Price,=J57/L57,=L57/I57,=J57/I57,,,
0.15,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,448895.6858880994,0.5960681679670348,124100.0,Commodity Price,=J58/L58,=L58/I58,=J58/I58,,,
0.15,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,524186.33712536393,0.6434460440432792,124100.0,Commodity Price,=J59/L59,=L59/I59,=J59/I59,,,
0.15,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,599476.9883626289,0.6859751178659472,124100.0,Commodity Price,=J60/L60,=L60/I60,=J60/I60,,,
0.15,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,674767.6395998924,0.7245097757012626,124100.0,Commodity Price,=J61/L61,=L61/I61,=J61/I61,,,
0.2,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,496106.24454478826,0.6278077723944282,124100.0,Opex,=J62/L62,=L62/I62,=J62/I62,,,
0.2,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,486171.6304489776,0.621233019138483,124100.0,Opex,=J63/L63,=L63/I63,=J63/I63,,,
0.2,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,476237.01635316707,0.6146081248248798,124100.0,Opex,=J64/L64,=L64/I64,=J64/I64,,,
0.2,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,466302.4022573558,0.607930880701379,124100.0,Opex,=J65/L65,=L65/I65,=J65/I65,,,
0.2,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,456367.7881615448,0.6011990029742798,124100.0,Opex,=J66/L66,=L66/I66,=J66/I66,,,
0.2,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,494165.0858267811,0.69178004575015,99280.0,Capital,=J67/L67,=L67/I67,=J67/I67,,,
0.2,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,485201.051089974,0.6511058343729763,111690.0,Capital,=J68/L68,=L68/I68,=J68/I68,,,
0.2,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,476237.01635316707,0.6146081248248798,124100.0,Capital,=J69/L69,=L69/I69,=J69/I69,,,
0.2,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,467272.98161635996,0.581628333353045,136510.0,Capital,=J70/L70,=L70/I70,=J70/I70,,,
0.2,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,458308.9468795529,0.5516485421320265,148920.0,Capital,=J71/L71,=L71/I71,=J71/I71,,,
0.2,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,338457.9183355111,0.5146403830845516,124100.0,Overall Rate,=J72/L72,=L72/I72,=J72/I72,,,
0.2,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,406031.56179586705,0.5652568776891949,124100.0,Overall Rate,=J73/L73,=L73/I73,=J73/I73,,,
0.2,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,476237.01635316707,0.6146081248248798,124100.0,Overall Rate,=J74/L74,=L74/I74,=J74/I74,,,
0.2,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,549005.1075541129,0.6613601552553527,124100.0,Overall Rate,=J75/L75,=L75/I75,=J75/I75,,,
0.2,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,624028.8266384419,0.6955247897972363,124100.0,Overall Rate,=J76/L76,=L76/I76,=J76/I76,,,
0.2,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,335674.4907303239,0.5137682000534527,124100.0,Commodity Price,=J77/L77,=L77/I77,=J77/I77,,,
0.2,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,405955.7535417455,0.5671567612231172,124100.0,Commodity Price,=J78/L78,=L78/I78,=J78/I78,,,
0.2,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,476237.01635316707,0.6146081248248798,124100.0,Commodity Price,=J79/L79,=L79/I79,=J79/I79,,,
0.2,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,546518.2791645884,0.6572368865850393,124100.0,Commodity Price,=J80/L80,=L80/I80,=J80/I80,,,
0.2,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,616799.54197601,0.6958835205879623,124100.0,Commodity Price,=J81/L81,=L81/I81,=J81/I81,,,
0.25,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,448156.923772591,0.5975417173905768,124100.0,Opex,=J82/L82,=L82/I82,=J82/I82,,,
0.25,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,438222.30967678054,0.5905944880949159,124100.0,Opex,=J83/L83,=L83/I83,=J83/I83,,,
0.25,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,428287.69558096945,0.583585718390145,124100.0,Opex,=J84/L84,=L84/I84,=J84/I84,,,
0.25,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,418353.081485159,0.5765127225492659,124100.0,Opex,=J85/L85,=L85/I85,=J85/I85,,,
0.25,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,408418.4673893482,0.5693727090311098,124100.0,Opex,=J86/L86,=L86/I86,=J86/I86,,,
0.25,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,446215.76505458343,0.6603065557500374,99280.0,Capital,=J87/L87,=L87/I87,=J87/I87,,,
0.25,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,437251.73031777644,0.6198245485872986,111690.0,Capital,=J88/L88,=L88/I88,=J88/I88,,,
0.25,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,428287.69558096945,0.583585718390145,124100.0,Capital,=J89/L89,=L89/I89,=J89/I89,,,
0.25,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,419323.66084416234,0.5509156089121641,136510.0,Capital,=J90/L90,=L90/I90,=J90/I90,,,
0.25,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,410359.62610735546,0.5212840519714934,148920.0,Capital,=J91/L91,=L91/I91,=J91/I91,,,
0.25,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,301376.5938780885,0.4845302847712354,124100.0,Overall Rate,=J92/L92,=L92/I92,=J92/I92,,,
0.25,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,363596.12244107807,0.5346637673992181,124100.0,Overall Rate,=J93/L93,=L93/I93,=J93/I93,,,
0.25,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,428287.69558096945,0.583585718390145,124100.0,Overall Rate,=J94/L94,=L94/I94,=J94/I94,,,
0.25,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,495382.13884446607,0.6300499373258077,124100.0,Overall Rate,=J95/L95,=L95/I95,=J95/I95,,,
0.25,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,564572.443471302,0.6643813118625532,124100.0,Overall Rate,=J96/L96,=L96/I96,=J96/I96,,,
0.25,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,297743.9468098125,0.4827077488244056,124100.0,Commodity Price,=J97/L97,=L97/I97,=J97/I97,,,
0.25,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,363015.821195391,0.5360825009550965,124100.0,Commodity Price,=J98/L98,=L98/I98,=J98/I98,,,
0.25,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,428287.69558096945,0.583585718390145,124100.0,Commodity Price,=J99/L99,=L99/I99,=J99/I99,,,
0.25,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,493559.5699665487,0.6263027999211692,124100.0,Commodity Price,=J100/L100,=L100/I100,=J100/I100,,,
0.25,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,558831.4443521275,0.6650569137657296,124100.0,Commodity Price,=J101/L101,=L101/I101,=J101/I101,,,
0.3,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,400207.60300039395,0.5648874469523477,124100.0,Opex,=J102/L102,=L102/I102,=J102/I102,,,
0.3,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,390272.9889045833,0.5575033223802208,124100.0,Opex,=J103/L103,=L103/I103,=J103/I103,,,
0.3,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,380338.37480877276,0.5500434324784198,124100.0,Opex,=J104/L104,=L104/I104,=J104/I104,,,
0.3,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,370403.760712962,0.5425044359709394,124100.0,Opex,=J105/L105,=L105/I105,=J105/I105,,,
0.3,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,360469.14661715116,0.534882838964517,124100.0,Opex,=J106/L106,=L106/I106,=J106/I106,,,
0.3,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,398266.44428238674,0.6261396435408537,99280.0,Capital,=J107/L107,=L107/I107,=J107/I107,,,
0.3,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,389302.40954557975,0.58593389796469,111690.0,Capital,=J108/L108,=L108/I108,=J108/I108,,,
0.3,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,380338.37480877276,0.5500434324784198,124100.0,Capital,=J109/L109,=L109/I109,=J109/I109,,,
0.3,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,371374.34007196577,0.5177752981194086,136510.0,Capital,=J110/L110,=L110/I110,=J110/I110,,,
0.3,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,362410.30533515883,0.4885851502781273,148920.0,Capital,=J111/L111,=L111/I111,=J111/I111,,,
0.3,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,264295.2694206659,0.45211309075525197,124100.0,Overall Rate,=J112/L112,=L112/I112,=J112/I112,,,
0.3,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,321160.68308628997,0.5016520449370514,124100.0,Overall Rate,=J113/L113,=L113/I113,=J113/I113,,,
0.3,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,380338.37480877276,0.5500434324784198,124100.0,Overall Rate,=J114/L114,=L114/I114,=J114/I114,,,
0.3,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,441759.17013481836,0.5961409762503891,124100.0,Overall Rate,=J115/L115,=L115/I115,=J115/I115,,,
0.3,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,505116.060304164,0.6306541181229601,124100.0,Overall Rate,=J116/L116,=L116/I116,=J116/I116,,,
0.3,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,259813.402889301,0.44921020116993127,124100.0,Commodity Price,=J117/L117,=L117/I117,=J117/I117,,,
0.3,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,320075.88884903677,0.5025203288039668,124100.0,Commodity Price,=J118/L118,=L118/I118,=J118/I118,,,
0.3,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,380338.37480877276,0.5500434324784198,124100.0,Commodity Price,=J119/L119,=L119/I119,=J119/I119,,,
0.3,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,440600.8607685084,0.5928300984930086,124100.0,Commodity Price,=J120/L120,=L120/I120,=J120/I120,,,
0.3,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,500863.34672824433,0.6316820879551637,124100.0,Commodity Price,=J121/L121,=L121/I121,=J121/I121,,,
0.35,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,352258.2822281975,0.5294635145323792,124100.0,Opex,=J122/L122,=L122/I122,=J122/I122,,,
0.35,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,342323.6681323865,0.5215617033288975,124100.0,Opex,=J123/L123,=L123/I123,=J123/I123,,,
0.35,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,332389.0540365758,0.513566038949806,124100.0,Opex,=J124/L124,=L124/I124,=J124/I124,,,
0.35,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,322454.43994076486,0.5054722506907385,124100.0,Opex,=J125/L125,=L125/I125,=J125/I125,,,
0.35,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,312519.82584495423,0.49727583991761914,124100.0,Opex,=J126/L126,=L126/I126,=J126/I126,,,
0.35,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,350317.12351018994,0.5888025468280356,99280.0,Capital,=J127/L127,=L127/I127,=J127/I127,,,
0.35,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,341353.0887733828,0.5489881215185131,111690.0,Capital,=J128/L128,=L128/I128,=J128/I128,,,
0.35,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,332389.0540365758,0.513566038949806,124100.0,Capital,=J129/L129,=L129/I129,=J129/I129,,,
0.35,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,323425.0192997687,0.48182160831124055,136510.0,Capital,=J130/L130,=L130/I130,=J130/I130,,,
0.35,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,314460.98456296173,0.45319398662600463,148920.0,Capital,=J131/L131,=L131/I131,=J131/I131,,,
0.35,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,227213.94496324327,0.4170386637094241,124100.0,Overall Rate,=J132/L132,=L132/I132,=J132/I132,,,
