year,days,oil_bbl,water_bbl,revenue_usd,royalties_usd,opex_usd,netback_usd,capital_usd,noi_btax_usd,tax_usd,noi_atax_usd,disc_noi_btax_usd,econ_months,tec10_oil_bpd,tec12_oil_bpd,oil_bpd,wcut,royalty_pct_rev,opex_per_bbl
2050,365,5875.9213634,74646.439036,449507.98430999997,-226185.92329,-466401.35675,-243079.29571,-1726.8909984,-1726.8909984,0.0,0.0,0.0,0,0.0,16.09665068,16.098414694246575,0.9270274575378221,0.5031855521703315,79.37501676845534
2051,365,5665.2747347,74669.468296,433393.51721,-219109.81101,-464949.01379,-250665.30758,-1655.3733916,-1655.3733916,0.0,0.0,0.0,0,0.0,15.519599864166667,15.5213006430137,0.929479145373814,0.5055678091830588,82.06998522810756
2052,366,5462.1868825,74595.013226,417857.29651,-212287.61569,-463234.64788,-257664.96705,-1585.5870488,-1585.5870488,0.0,0.0,0.0,0,0.0,14.963255760000001,14.92400787568306,0.9317714474763394,0.5080385515893932,84.8075428111279
2053,365,5266.3863092,74430.040141,402878.55263,-205710.21708,-461278.93119,-264110.59562,-1517.1323196,-1517.1323196,0.0,0.0,0.0,0,0.0,14.426874615000001,14.428455641643836,0.9339194171712227,0.5106010626207804,87.58926977768013
2054,365,5077.6112776,74181.140585,388437.26273,-199368.82284,-459101.38866,-270032.94879,-1449.4036668,-1449.4036668,0.0,0.0,0.0,0,0.0,13.909739419166668,13.911263774246576,0.9359362700235003,0.5132587472139094,90.41680498177094
2055,365,4895.6094608,73854.549267,374514.12375,-193254.9567,-456720.45371,-275461.28668,-1381.3473088,-1381.3473088,0.0,0.0,0.0,0,0.0,13.411158944166667,13.412628659726028,0.9378336559584384,0.5160151365319503,93.29184800524641
2056,366,4720.1376033999995,73456.16121,361090.52665,-187360.44715,-454153.52154,-280423.44208,-1310.7315128,-1310.7315128,0.0,0.0,0.0,0,0.0,12.930466805833333,12.896550828961747,0.9396218844452261,0.5188738926169776,96.2161614129353
2057,365,4550.9611937,72991.548132,348148.53132,-181677.41641,-451417.00009,-284945.88517,-1230.9743912,-1230.9743912,0.0,0.0,0.0,0,0.0,12.4670205825,12.468386832054794,0.9413101119208729,0.5218388132248405,99.19157313732029
2058,365,4387.8541515,72465.974071,335670.84258,-176198.26989,-448526.35832,-289053.78563,-161.60576612,-161.60576612,0.0,0.0,0.0,0,0.0,12.02020094,12.02151822328767,0.94290649857029,0.5249138368281329,102.21997879457093
2059,181,2134.5987992,36018.213503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.695150113333334,11.793363531491712,0.9440513380169117,,-0.0
