tag,slot,well,forecast_start,cos,qi_bpd,qi_adj_bpd,n_b,di_per_yr
2022-v7,3.0,Tecolutla 11 HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,4.0,Tecolutla 12 VT,2022-12-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v7,5.0,Tecolutla 13 VT,2023-05-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v7,6.0,Tecolutla 14 VT,2024-07-01,1.0,273.6,273.6,1.7,3.507302612853693
2022-v7,7.0,Tecolutla 15 VT,2025-07-01,1.0,273.6,273.6,1.7,3.507302612853693
2022-v7,8.0,Tecolutla HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,9.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,10.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,11.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,12.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,13.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,14.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,15.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,16.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,17.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,18.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,19.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,20.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,1.0,Tecolutla-2,2025-06-01,1.0,20.0,20.0,0.001,0.15
2022-v8,2.0,Tecolutla 10 VT,2022-07-01,1.0,50.0,50.0,0.001,0.15
2022-v8,3.0,Tecolutla 11 HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,4.0,Tecolutla 12 VT,2022-12-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v8,5.0,Tecolutla 13 VT,2023-05-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v8,6.0,Tecolutla 14 VT,2024-07-01,0.0,273.6,273.6,1.7,3.507302612853693
2022-v8,7.0,Tecolutla 15 VT,2025-07-01,0.0,273.6,273.6,1.7,3.507302612853693
2022-v8,8.0,Tecolutla HZ,2024-07-01,1.0,547.2,547.2,1.8,2.0
2022-v8,9.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,10.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,11.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,12.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,13.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,14.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,15.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,16.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,17.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,18.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,19.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v8,20.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,1.0,Tecolutla-2,2025-06-01,1.0,20.0,20.0,0.001,0.15
2022-v9,2.0,Tecolutla 10 VT,2022-07-01,1.0,50.0,50.0,0.001,0.15
2022-v9,3.0,Tecolutla 11 HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,4.0,Tecolutla 12 VT,2022-12-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v9,5.0,Tecolutla 13 VT,2023-05-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v9,6.0,Tecolutla 14 VT,2024-07-01,0.0,273.6,273.6,1.7,3.507302612853693
2022-v9,7.0,Tecolutla 15 VT,2025-07-01,0.0,273.6,273.6,1.7,3.507302612853693
2022-v9,8.0,Tecolutla HZ,2024-07-01,1.0,547.2,547.2,1.8,2.0
2022-v9,9.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,10.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,11.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,12.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,13.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,14.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,15.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,16.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,17.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,18.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,19.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v9,20.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,1.0,Tecolutla-2,2024-01-01,0.0,25.0,25.0,0.001,0.15
2023-10,2.0,Tecolutla 10 VT,2024-01-01,1.0,80.0,80.0,0.001,0.15
2023-10,3.0,Tecolutla 11 HZ,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,4.0,Tecolutla 12 HZ,2024-01-01,1.0,342.0,342.0,1.7,3.507302612853693
2023-10,5.0,Tecolutla 13 HZ,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,6.0,Tecolutla 14 HZ,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,7.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,8.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,9.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,10.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,11.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,12.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,13.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,14.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,15.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,16.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,17.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,18.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,19.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
2023-10,20.0,Tecolutla HZ #4,2024-01-01,0.0,1000.0,1000.0,1.8,2.0
