month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
110,19.85479594107786,603.9828925275885,3302.779366301469,63.0,38050.92222923808,16808.486122051898,29112.908911304792,-7870.47280411861,False,0.0,0.0,0.0,0.0,0.41907499444739477
111,19.681679724415183,598.7166972167099,3278.689687020428,63.0,37719.151924652724,16671.522050750536,28996.43753763754,-7948.8076637353515,False,0.0,0.0,0.0,0.0,0.4157596684663694
112,19.51140907425272,593.5370640387679,3254.8121194197442,63.0,37392.835034442374,16536.809301598776,28881.28310239524,-8025.25736955164,False,0.0,0.0,0.0,0.0,0.4124705702166717
113,19.34391559382666,588.441912364207,3231.1483709956574,63.0,37071.84047894504,16404.293761241926,28767.43607037639,-8099.889352673272,False,0.0,0.0,0.0,0.0,0.40920749220923575
114,19.179133042147992,583.4292271421419,3207.699873443625,63.0,36756.04130995494,16273.923021906077,28654.886485472314,-8172.768197423451,False,0.0,0.0,0.0,0.0,0.40597022859645343
115,19.01699725017039,578.4970563501834,3184.4677982010826,63.0,36445.31455006155,16145.646315072809,28543.624002692348,-8243.955767703606,False,0.0,0.0,0.0,0.0,0.40275857515918895
116,18.85744604082657,573.6435085619443,3161.453071380182,63.0,36139.54103940249,16019.41444821445,28433.637919059685,-8313.511327871645,False,0.0,0.0,0.0,0.0,0.3995723292938952
117,18.70041915272681,568.8667506259495,3138.656388098747,63.0,35838.60528943482,15895.179744426796,28324.917203359062,-8381.491658351038,False,0.0,0.0,0.0,0.0,0.3964112899998336
118,18.545858167326013,564.1650054500574,3116.078226219326,63.0,35542.395343353615,15772.895984805986,28217.450524725726,-8447.951166178096,False,0.0,0.0,0.0,0.0,0.3932752578663937
119,18.39370643937717,559.5365498858536,3093.7188595075045,63.0,35250.802642808776,15652.518353425461,28111.22628007183,-8512.941990688516,False,0.0,0.0,0.0,0.0,0.39016403506051345
120,18.243909030499893,554.9797127078068,3071.578370221915,63.0,34963.72190059183,15534.003384777523,28006.232620352825,-8576.514104538517,False,0.0,0.0,0.0,0.0,0.3870774253141995
121,18.09641264570286,550.492872682281,3049.656661149183,63.0,34681.0509789837,15417.308913551882,27902.45747568138,-8638.715410249562,False,0.0,0.0,0.0,0.0,0.38401523391214576
122,17.951165572708533,546.0744567217936,3027.953467097957,63.0,34402.690773473,15302.394026631311,27799.88857930136,-8699.591832459675,False,0.0,0.0,0.0,0.0,0.3809772676794497
123,17.808117623937015,541.722938120164,3006.4683658667136,63.0,34128.54510157034,15189.219017191077,27698.51349043801,-8759.18740605875,False,0.0,0.0,0.0,0.0,0.37796333496942675
124,17.66722008101465,537.4368348644657,2985.2007887006243,63.0,33858.52059646134,15077.745340795942,27598.319616044406,-8817.544360379005,False,0.0,0.0,0.0,0.0,0.37497324565151974
125,17.528425641680197,533.2147080199117,2964.150030253001,63.0,33592.52660525443,14967.935573393977,27499.294231466614,-8874.70319960616,False,0.0,0.0,0.0,0.0,0.37200681109930517
126,17.391688368969067,529.0551601840391,2943.315258067249,63.0,33330.47509159446,14859.753371112758,27401.424500052843,-8930.70277957114,False,0.0,0.0,0.0,0.0,0.369063844178594
127,17.256963642562553,524.9568340067528,2922.6955215952335,63.0,33072.280542425426,14753.163431768402,27304.697491733466,-8985.580381076441,False,0.0,0.0,0.0,0.0,0.36614415923562627
128,17.124208112195507,520.9184107729874,2902.289760768234,63.0,32817.859878698204,14648.131458003221,27209.100200600922,-9039.371779905938,False,0.0,0.0,0.0,0.0,0.36324757208535924
129,16.993379653021844,516.9386090449245,2882.096814136444,63.0,32567.132369830244,14544.62412197228,27114.619561519146,-9092.111313661182,False,0.0,0.0,0.0,0.0,0.3603738999998487
130,16.864437322842726,513.0161833608757,2862.1154265930595,63.0,32320.01955173517,14442.609031503727,27021.24246579379,-9143.831945562346,False,0.0,0.0,0.0,0.0,0.35752296169672154
131,16.73734132110768,509.1499229880957,2842.3442566987273,63.0,32076.445148250026,14342.05469766176,26928.955775934555,-9194.565325346288,False,0.0,0.0,0.0,0.0,0.35469457732773946
132,16.612052949603616,505.33865072694203,2822.781883622043,63.0,31836.334995797348,14242.930503645026,26837.74633954197,-9244.341847389645,False,0.0,0.0,0.0,0.0,0.35188856846745403
133,16.488534574751462,501.5812217639395,2803.4268137114373,63.0,31599.616971128187,14145.206674956906,26747.601002350733,-9293.190706179452,False,0.0,0.0,0.0,0.0,0.3491047581019507
134,16.366749591434473,497.8765225714367,2784.2774867136104,63.0,31366.22092200051,14048.854250787625,26658.506620462147,-9341.139949249264,False,0.0,0.0,0.0,0.0,0.34634297061768154
135,16.24666238828623,494.2234698516671,2765.3322816532846,63.0,31136.07860065503,13953.845056551214,26570.45007179776,-9388.216527693945,False,0.0,0.0,0.0,0.0,0.3436030317903879
136,16.128238314370186,490.6210095231411,2746.589522388749,63.0,30909.12359995789,13860.151677523416,26483.41826680621,-9434.446344371736,False,0.0,0.0,0.0,0.0,0.34088476877410884
137,16.011443647186425,487.06811574741107,2728.0474828573356,63.0,30685.2912920869,13767.747433529648,26397.39815845507,-9479.854299897823,False,0.0,0.0,0.0,0.0,0.33818801009027744
138,15.89624556194437,483.56378999434776,2709.7043920244673,63.0,30464.51876964391,13676.606354634556,26312.37675153854,-9524.464336529185,False,0.0,0.0,0.0,0.0,0.3355125856169036
139,15.78261210204356,480.10706014416513,2691.5584385497164,63.0,30246.744789082404,13586.70315778731,26228.341111331778,-9568.299480036683,False,0.0,0.0,0.0,0.0,0.33285832657784203
140,15.67051215070765,476.6969796245267,2673.6077751827256,63.0,30031.90971634518,13498.013224379347,26145.27837162168,-9611.381879655848,False,0.0,0.0,0.0,0.0,0.33022506553214476
141,15.559915403719446,473.3326265811456,2655.8505229015354,63.0,29819.955474612172,13410.512578673193,26063.1757421433,-9653.732846204322,False,0.0,0.0,0.0,0.0,0.3276126363634988
142,15.450792343207624,470.01310308037597,2638.2847748054487,63.0,29610.825494063687,13324.177867063323,25982.020515450437,-9695.372888450074,False,0.0,0.0,0.0,0.0,0.3250208742697468
