month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
25,68.65046361293771,2088.3471031055656,4674.659743293542,63.0,131565.86749565063,54774.073946494456,44333.160663219365,32458.6328859368,True,0.0,32458.6328859368,-2324.466677401977,30134.16620853482,0.8231707582836086
26,66.85290011578627,2033.6652215222184,4693.432724179432,63.0,128120.90895589977,53351.89860244619,43997.72920961924,30771.281143834334,True,0.0,30771.281143834334,-1972.7012211958004,28798.579922638535,0.8166586078620437
27,65.14270628651852,1981.6411252358935,4710.975858807657,63.0,124843.39088986129,51998.84737427965,43677.569699085114,29166.973816496524,True,0.0,29166.973816496524,-1642.6315880351754,27524.342228461348,0.8101979754307453
28,63.51376490584848,1932.088728435911,4727.267654211859,63.0,121721.5898914624,50710.08051171264,43371.2631573489,27640.24622240087,True,0.0,27640.24622240087,-1332.685404742184,26307.560817658687,0.8037884534279793
29,61.96051226229014,1884.838783018866,4742.28925404887,63.0,118744.84333018855,49481.19618231508,43077.52125254561,26186.125895327867,True,0.0,26186.125895327867,-1041.4365662448256,25144.68932908304,0.797429637516255
30,60.477877227548845,1839.737025262036,4756.024515425799,63.0,115903.43259150827,48308.18226988718,42795.17310828361,24800.077213337492,True,0.0,24800.077213337492,-767.5886533634118,24032.48855997408,0.7911211265568183
31,59.06122818085972,1796.642561261753,4768.460067628508,63.0,113188.48135949044,47187.37438267571,42523.153788940355,23477.953187874373,True,0.0,23477.953187874373,-509.9604980294305,22967.99268984494,0.7848625225843471
32,57.70632662992049,1755.4264560821814,4779.585353103906,63.0,110591.86673317743,46115.41915972417,42260.49420418351,22215.95336926975,True,0.0,22215.95336926975,-267.47358282997953,21948.479786439773,0.778653430781845
33,56.40928656513784,1715.970497311493,4789.3926510864085,63.0,108106.14133062406,45089.24211323887,42006.312221539156,21010.58699584603,True,0.0,21010.58699584603,-39.14101305184158,20971.44598279419,0.7724934594557352
34,55.1665387388219,1678.1661084349623,4797.877084318084,63.0,105724.46483140263,44106.01936741828,41759.804810187255,19858.64065379709,True,0.0,19858.64065379709,0.0,19858.64065379709,0.7663822200111513
35,53.974799188438574,1641.9133913123014,4805.036609386027,63.0,103440.54365267498,43163.1527550465,41520.24106751877,18757.14983010971,True,0.0,18757.14983010971,0.0,18757.14983010971,0.7603193269274225
36,52.83104142835423,1607.1202802505359,4810.871991283428,63.0,101248.57765578377,42258.2478164819,41286.956003487525,17703.373835814346,True,0.0,17703.373835814346,0.0,17703.373835814346,0.7543043977337539
37,51.73247182187395,1573.7017928214057,4815.386762887531,63.0,99143.21294774856,41389.09431479314,41059.34497733967,16694.773655615747,True,0.0,16694.773655615747,0.0,16694.773655615747,0.7483370529850987
38,50.67650771811818,1541.5793647851551,4818.587170134594,63.0,97119.49998146477,40553.64893834814,40836.8586976298,15728.992345486833,True,0.0,15728.992345486833,0.0,15728.992345486833,0.7424169162382215
39,49.66075799907031,1510.680258331719,4820.482103755018,63.0,95172.8562748983,39750.01991025371,40618.998710108775,14803.837654535811,True,0.0,14803.837654535811,0.0,14803.837654535811,0.7365436140279503
40,48.68300573310215,1480.9370344009674,4821.08301850889,63.0,93299.03316726095,38976.453264373995,40405.31330956091,13917.266593326043,True,0.0,13917.266593326043,0.0,13917.266593326043,0.7307167758436175
41,47.74119267417193,1452.28708114831,4820.403840930427,63.0,91494.08611234353,38231.32058158656,40195.393821349135,13067.371709407838,True,0.0,13067.371709407838,0.0,13067.371709407838,0.7249360341056862
