top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
970,980,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",53.0,
980,990,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",44.0,
990,1000,95 5,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",43.0,
1000,1010,100 TRZ,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",40.0,
1010,1020,100 TRZ,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",37.0,
1020,1030,100,"Lutita arenosa gris claro, semidura a dura, calcárea",39.0,
1030,1040,100,"Lutita arenosa gris claro, semidura a dura, calcárea",36.0,
1040,1050,100,"Lutita arenosa gris claro, semidura a dura, calcárea",38.0,
1050,1060,100,"Lutita arenosa gris claro, semidura a dura, calcárea",39.0,
1060,1070,100,"Lutita arenosa gris claro, semidura a dura, calcárea",39.0,
1070,1080,100,"Lutita arenosa gris claro, semidura a dura, calcárea",40.0,
1080,1090,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",39.0,
1090,1100,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",41.0,
1100,1110,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",40.0,
1110,1120,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",36.0,
1120,1130,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",34.0,
1130,1140,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",33.0,
1140,1150,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",35.0,
1150,1160,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",31.0,
1160,1170,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",23.0,
1170,1180,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",38.0,
1180,1190,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",37.0,
1190,1200,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",35.0,
1200,1210,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 % 1200-1220 100 Trazas Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",37.0,
1220,1230,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",28.0,
1230,1240,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",31.0,
1240,1250,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",33.0,
1250,1260,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",38.0,
1260,1270,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",37.0,
1270,1280,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",33.0,
1280,1290,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",38.0,
1290,1300,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",38.0,
1300,1310,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",34.0,
1310,1320,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",17.0,
1320,1330,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",19.0,
1330,1340,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",40.0,
