DEPT,CGXT,DNND,DNFD,SMTU,gr,CCLG,NPRS,NPOR,nprl,NPRD,BIT,mss
2209.2,97.324135,3264.610596,141.797775,1961.249878,59.936543,-1301.93457,0.379145,0.392844,0.322785,0.293672,9.5,2205.2
2209.3,97.334541,3131.42627,162.558319,1962.499878,60.247478,314.193115,0.367735,0.378272,0.310053,0.281979,9.5,2205.3
2209.4,97.330368,3326.033936,163.87291,1963.749878,61.451183,2031.695557,0.359441,0.36776,0.300921,0.273599,9.5,2205.4
2209.5,97.326195,3166.646484,173.337219,1963.749878,63.138123,-526.792969,0.353179,0.359811,0.294009,0.267255,9.5,2205.5
2209.6,97.344048,3291.755859,189.113892,1962.499878,64.395905,-504.760864,0.350135,0.35594,0.29064,0.264163,9.5,2205.6
2209.7,97.355553,3295.043701,167.026733,1963.749878,64.820435,-461.22168,0.349084,0.354578,0.289438,0.263059,9.5,2205.7
2209.8,97.36306,3183.098389,162.051697,1964.999878,64.403412,796.344238,0.349737,0.35539,0.290134,0.263698,9.5,2205.8
2209.9,97.37635,3274.731201,167.033188,1966.249878,63.867329,1667.659546,0.351069,0.357055,0.291568,0.265014,9.5,2205.9
2210.0,97.379662,3193.149414,181.155991,1966.249878,63.268932,309.815186,0.351694,0.357838,0.292243,0.265633,9.5,2206.0
2210.1,97.386307,3075.844238,160.699722,1966.249878,62.553215,-377.710205,0.355339,0.362495,0.296312,0.269369,9.5,2206.1
2210.2,97.391373,3294.836426,178.18367,1964.999878,61.047729,-174.022217,0.362386,0.371523,0.304214,0.276625,9.5,2206.2
2210.3,97.411079,3236.828369,165.229782,1964.999878,60.497486,909.456543,0.374819,0.387453,0.318165,0.289439,9.5,2206.3
2210.4,97.415581,3185.907471,146.153625,1964.999878,60.305588,-590.778564,0.388726,0.405318,0.333842,0.303842,9.5,2206.4
2210.5,97.429855,3463.953369,150.595428,1964.999878,60.843678,-1597.991333,0.404188,0.425293,0.351457,0.32004,9.5,2206.5
2210.6,97.422585,3150.674316,162.538223,1964.999878,61.022598,-308.532593,0.413651,0.437568,0.362319,0.330034,9.5,2206.6
2210.7,97.439781,3351.467285,136.61113,1964.999878,62.646851,773.564209,0.416139,0.440839,0.365251,0.33274,9.5,2206.7
2210.8,97.443352,3212.811279,146.168655,1964.999878,63.064938,-436.118896,0.408318,0.430765,0.356394,0.324602,9.5,2206.8
2210.9,97.451553,3327.146973,149.330124,1964.999878,62.287025,365.963379,0.396038,0.414956,0.342498,0.311833,9.5,2206.9
2211.0,97.475754,3257.870605,176.489319,1966.249878,60.299541,168.494385,0.379359,0.393442,0.323548,0.29441,9.5,2207.0
2211.1,97.470062,3346.343994,171.646423,1966.249878,60.77338,-951.434814,0.365358,0.375384,0.307643,0.279786,9.5,2207.1
2211.2,97.477272,3238.406494,174.769714,1967.499878,60.638664,437.992798,0.354564,0.361502,0.29544,0.268568,9.5,2207.2
2211.3,97.494499,3123.631836,171.904007,1967.499878,61.777824,842.264282,0.351048,0.35702,0.291533,0.264982,9.5,2207.3
2211.4,97.493996,3247.310303,171.614517,1968.749878,62.742676,-816.194458,0.350359,0.356143,0.290769,0.26428,9.5,2207.4
2211.5,97.505829,3184.947266,157.603836,1969.999878,64.918571,-1258.62146,0.353457,0.360054,0.294156,0.267388,9.5,2207.5
2211.6,97.52523,3197.463379,184.322693,1969.999878,65.290367,1389.434937,0.357509,0.36519,0.298617,0.271482,9.5,2207.6
2211.7,97.521202,3102.677246,154.41069,1968.749878,65.670395,1611.471436,0.365179,0.374968,0.307146,0.279312,9.5,2207.7
2211.8,97.535896,3060.084961,153.148941,1969.999878,64.654251,20.934692,0.373654,0.385801,0.316615,0.288005,9.5,2207.8
2211.9,97.536911,2994.266846,158.866623,1969.999878,64.048203,-1063.685669,0.383404,0.398281,0.327531,0.298029,9.5,2207.9
2212.0,97.557922,3062.398438,143.745377,1971.249878,62.712929,-140.173828,0.388391,0.404669,0.333123,0.303163,9.5,2208.0
2212.1,97.553482,3270.675049,132.330688,1969.999878,62.166519,360.252563,0.390352,0.407186,0.335329,0.305189,9.5,2208.1
2212.2,97.563828,3094.24292,168.774704,1968.749878,62.520023,372.720032,0.387711,0.40378,0.332332,0.302436,9.5,2208.2
2212.3,97.574738,3173.460693,143.77092,1967.499878,63.90583,749.688416,0.386562,0.402303,0.331036,0.301246,9.5,2208.3
2212.4,97.583435,3170.033447,168.794708,1968.749878,65.835381,-35.450012,0.38749,0.403536,0.332149,0.302274,9.5,2208.4
2212.5,97.590439,3186.167725,162.045273,1967.499878,66.628197,-83.594177,0.392577,0.410136,0.337987,0.307642,9.5,2208.5
2212.6,97.597954,3181.606445,137.508179,1966.249878,66.69342,-392.849609,0.398269,0.417507,0.344494,0.313624,9.5,2208.6
2212.7,97.61068,3088.893555,141.795303,1966.249878,64.96479,-829.989624,0.402866,0.42343,0.3497,0.318406,9.5,2208.7
2212.8,97.61232,3233.678711,151.236969,1966.249878,63.048294,-109.297241,0.403007,0.423601,0.349842,0.318535,9.5,2208.8
2212.9,97.630676,3250.842285,159.409729,1964.999878,61.071144,93.664185,0.398317,0.417504,0.344442,0.313568,9.5,2208.9
2213.0,97.646385,3294.126709,146.150742,1963.749878,59.811687,898.804321,0.39243,0.409859,0.337678,0.307348,9.5,2209.0
2213.1,97.64859,3299.237305,163.873718,1963.749878,58.436855,497.955811,0.388684,0.404988,0.333363,0.303379,9.5,2209.1
2213.2,97.665192,3233.359863,175.043579,1964.999878,57.653931,-941.950317,0.387971,0.404064,0.332547,0.302629,9.5,2209.2
2213.3,97.665398,3233.902344,148.098389,1964.999878,57.474258,-876.862305,0.387911,0.403986,0.332478,0.302566,9.5,2209.3
2213.4,97.681313,3172.204834,144.930252,1963.749878,57.952656,28.508301,0.39013,0.40686,0.335015,0.304898,9.5,2209.4
2213.5,97.683517,3134.600342,163.873611,1962.499878,59.699848,1651.956543,0.391103,0.408132,0.336147,0.30594,9.5,2209.5
2213.6,97.693954,3115.510254,155.683319,1961.249878,61.441807,821.44928,0.388697,0.405079,0.333494,0.303506,9.5,2209.6
2213.7,97.702568,3171.418457,149.414185,1961.249878,62.883537,-262.913025,0.381709,0.396137,0.325675,0.296327,9.5,2209.7
2213.8,97.716843,3183.042725,134.365417,1959.999878,63.356152,-667.857605,0.376288,0.38921,0.319623,0.290771,9.5,2209.8
2213.9,97.721138,3119.644531,190.673599,1958.749878,63.644268,-1358.008301,0.375097,0.387732,0.318363,0.289619,9.5,2209.9
2214.0,97.747452,3230.208496,173.361847,1958.749878,62.859135,707.24292,0.377035,0.390247,0.320589,0.291667,9.5,2210.0
2214.1,97.761101,3157.854248,134.560867,1957.499878,62.021152,-239.020752,0.383093,0.398061,0.327469,0.29799,9.5,2210.1
2214.2,97.764259,3174.891846,160.72467,1954.999878,61.792305,-875.092896,0.391722,0.409145,0.337191,0.30692,9.5,2210.2
2214.3,97.764801,3318.889893,138.639145,1953.749878,62.343933,429.065308,0.401639,0.421915,0.348415,0.317232,9.5,2210.3
2214.4,97.779198,3216.378906,173.317383,1952.499878,61.632309,-995.507202,0.405718,0.427137,0.352981,0.321424,9.5,2210.4
2214.5,97.80426,3236.820068,133.465286,1951.249878,60.545742,1054.195679,0.407935,0.429995,0.355493,0.32373,9.5,2210.5
2214.6,97.789925,3148.388428,146.169724,1949.999878,59.451775,2001.014404,0.408555,0.430789,0.356187,0.324366,9.5,2210.6
2214.7,97.821281,3032.130371,162.510513,1949.999878,58.837292,324.723999,0.412517,0.435968,0.360797,0.328611,9.5,2210.7
2214.8,97.813797,3240.754883,141.832489,1952.499878,58.225578,67.62146,0.412427,0.43589,0.360759,0.328583,9.5,2210.8
2214.9,97.831741,3196.692871,138.643997,1952.499878,57.246922,-502.142822,0.409877,0.432625,0.357906,0.325966,9.5,2210.9
2215.0,97.850487,3119.53418,148.100235,1953.749878,56.625889,-1276.24707,0.400491,0.420575,0.347338,0.316258,9.5,2211.0
2215.1,97.841873,3189.192871,136.611023,1954.999878,56.548969,-300.664307,0.391836,0.409455,0.337576,0.307288,9.5,2211.1
2215.2,97.870964,3239.904053,190.699066,1953.749878,57.441849,144.710205,0.382438,0.397326,0.326888,0.29746,9.5,2211.2
2215.3,97.866402,3127.147949,149.99852,1954.999878,57.37632,450.607117,0.381984,0.396717,0.326335,0.296949,9.5,2211.3
2215.4,97.901062,2994.787354,175.030685,1954.999878,59.603542,547.172607,0.385702,0.401531,0.330584,0.300855,9.5,2211.4
2215.5,97.894089,3037.418701,119.71949,1954.999878,61.405037,-487.05304,0.398243,0.417724,0.344858,0.31398,9.5,2211.5
2215.6,97.92482,3244.526123,157.558716,1954.999878,63.209148,-1874.100098,0.406697,0.428588,0.354396,0.322744,9.5,2211.6
2215.7,97.921127,3090.833984,135.508087,1954.999878,61.647026,267.442139,0.413489,0.437305,0.362043,0.329772,9.5,2211.7
2215.8,97.929024,3121.890869,138.639145,1952.499878,61.662891,1739.978638,0.410515,0.433415,0.358579,0.326581,9.5,2211.8
2215.9,97.951408,2914.708252,143.822144,1953.749878,60.903881,-136.775391,0.406981,0.428794,0.354464,0.322791,9.5,2211.9
2216.0,97.944283,3204.525146,165.296448,1951.249878,62.128899,585.260376,0.401202,0.421239,0.347739,0.316598,9.5,2212.0
