DEPT,mss,gr,nprl,dprl,den,pe,res_ild,phi,sw,sw_m1p8,pay_6_50,pay_4_60
2260.45,2230.214125,60.934102,0.1992,0.244505,2.292872,12.723284,20000000.0,0.2218525,0.00023425445386921233,0.00020150892657361878,True,True
2260.475,2230.2376875,58.961521,0.199266,0.242061,2.290858,12.811695,20000000.0,0.2206635,0.0002355166859359134,0.0002024858743770124,True,True
2260.5,2230.26125,57.22602,0.194633,0.244195,2.286068,12.850308,20000000.0,0.219414,0.00023685788612859448,0.00020352336874439737,True,True
2260.525,2230.2848125,56.37359,0.187911,0.249456,2.276625,12.812415,20000000.0,0.2186835,0.00023764909664889862,0.0002041351392595947,True,True
2260.55,2230.308375,56.348366,0.182344,0.259369,2.261909,12.770489,20000000.0,0.2208565,0.00023531087483057741,0.0002023266156110179,True,True
2260.575,2230.3319374999996,56.998402,0.179141,0.272139,2.244896,12.695309,20000000.0,0.22564,0.00023032235519863245,0.000198462154596934,True,True
2260.6,2230.3554999999997,57.186844,0.177942,0.285112,2.227513,12.592509,20000000.0,0.23152699999999998,0.0002244659855093334,0.0001939146871409783,True,True
2260.625,2230.3790625,57.470484,0.17795,0.293951,2.212285,12.567334,20000000.0,0.2359505,0.00022025779232092929,0.0001906397114979865,True,True
2260.65,2230.402625,57.755354,0.17819,0.300278,2.202188,12.654353,20000000.0,0.239234,0.00021723474183025585,0.00018828320064784383,True,True
2260.675,2230.4261875,58.064809,0.178363,0.303884,2.199241,12.775693,20000000.0,0.2411235,0.0002155324397125101,0.00018695479088675198,True,True
2260.7,2230.4497499999998,57.783967,0.178851,0.301652,2.20212,12.848228,20000000.0,0.2402515,0.00021631472114438173,0.0001875653824070547,True,True
2260.725,2230.4733125,57.466438,0.179554,0.293729,2.210035,12.915294,20000000.0,0.2366415,0.0002196146332195301,0.0001901386321653115,True,True
2260.75,2230.496875,57.485794,0.179898,0.285559,2.222805,12.928868,20000000.0,0.2327285,0.00022330714212921677,0.00019301344866960984,True,True
2260.775,2230.5204375,57.945655,0.179143,0.277186,2.238594,12.86874,20000000.0,0.2281645,0.00022777397985672366,0.000196484781203233,True,True
2260.8,2230.5440000000003,58.449643,0.176161,0.266609,2.254955,12.754123,20000000.0,0.221385,0.0002347491303702574,0.0002018918609898765,True,True
2260.825,2230.5675625,58.716878,0.170796,0.255533,2.272608,12.703599,20000000.0,0.2131645,0.00024380202250852946,0.00020888573953805085,True,True
2260.85,2230.591125,58.068578,0.164286,0.2459,2.29286,12.731164,20000000.0,0.205093,0.00025339692835454853,0.0002162700745233543,True,True
2260.875,2230.6146875,56.981705,0.158028,0.233907,2.314857,12.792223,20000000.0,0.19596750000000002,0.00026519670979636636,0.00022531314873721863,True,True
2260.9,2230.63825,54.897675,0.152286,0.217908,2.337342,12.83035,20000000.0,0.185097,0.0002807713589470355,0.00023718801579057094,True,True
2260.925,2230.6618125,51.641557,0.147098,0.20221,2.359777,12.807257,20000000.0,0.174654,0.00029755938156022436,0.0002499145267607951,True,True
2260.95,2230.6853749999996,46.91865,0.142955,0.189725,2.380703,12.719271,20000000.0,0.16634,0.00031243198405085627,0.00026112903057874974,True,True
2260.975,2230.7089375,42.076787,0.13969,0.18026,2.398172,12.596465,20000000.0,0.159975,0.0003248628612409403,0.00027046139076945564,True,True
2261.0,2230.7325,38.264187,0.13624,0.172698,2.411848,12.502446,20000000.0,0.154469,0.00033644249802238267,0.0002791225874691723,True,True
2261.025,2230.7560625,36.454653,0.132009,0.166785,2.42253,12.476008,20000000.0,0.149397,0.000347864657436357,0.00028763683074228775,True,True
2261.05,2230.779625,37.189609,0.127437,0.162172,2.430305,12.554378,20000000.0,0.1448045,0.00035889724578324174,0.000295834167340602,True,True
2261.075,2230.8031874999997,40.074669,0.123156,0.158445,2.434687,12.655261,20000000.0,0.1408005,0.00036910334996693495,0.00030339499112247767,True,True
2261.1,2230.8267499999997,43.759467,0.119415,0.157492,2.434645,12.729078,20000000.0,0.1384535,0.00037536022005236,0.00030801980311309147,True,True
2261.125,2230.8503124999997,46.179577,0.116274,0.159854,2.429734,12.706099,20000000.0,0.138064,0.00037641916956642884,0.0003088017674688334,True,True
2261.15,2230.873875,47.305724,0.114005,0.166902,2.421038,12.639596,20000000.0,0.1404535,0.00037001524509549014,0.0003040695101765873,True,True
2261.175,2230.8974375000003,47.975182,0.112963,0.176557,2.410953,12.529064,20000000.0,0.14476,0.0003590075727204989,0.00029591601299073427,True,True
2261.2,2230.921,50.063522,0.113108,0.183915,2.401166,12.443883,20000000.0,0.1485115,0.00034993880088087073,0.00028917990303868764,True,True
2261.225,2230.9445625,53.214402,0.11413,0.187027,2.392359,12.390257,20000000.0,0.1505785,0.0003451351702070311,0.00028560480780961484,True,True
2261.25,2230.968125,57.475562,0.115647,0.188514,2.384937,12.412305,20000000.0,0.1520805,0.00034172649502743234,0.0002830648902887473,True,True
2261.275,2230.9916875,60.828574,0.117308,0.192689,2.377041,12.469078,20000000.0,0.15499849999999998,0.00033529315591453743,0.00027826426549988094,True,True
2261.3,2231.01525,63.468864,0.119011,0.198278,2.366208,12.557948,20000000.0,0.15864450000000002,0.0003275873807602496,0.00027250198216123746,True,True
2261.325,2231.0388125,63.329969,0.121071,0.206991,2.351584,12.662345,20000000.0,0.164031,0.0003168299664515819,0.0002644349438524849,True,True
2261.35,2231.062375,62.47549,0.124184,0.218676,2.334863,12.785935,20000000.0,0.17143,0.0003031554350289881,0.00025414059435747093,True,True
2261.375,2231.0859375,61.133822,0.129368,0.231247,2.316876,12.902058,20000000.0,0.1803075,0.0002882294759065454,0.00024285093016260655,True,True
2261.4,2231.1095,60.939844,0.137343,0.241585,2.298451,12.981598,20000000.0,0.189464,0.0002742997942987556,0.00023226199502908714,True,True
2261.425,2231.1330625,60.296095,0.147778,0.250912,2.280804,13.023038,20000000.0,0.199345,0.0002607034850486314,0.00022187448968016919,True,True
2261.45,2231.1566249999996,59.905971,0.158828,0.260925,2.265794,12.952818,20000000.0,0.20987650000000002,0.0002476215118272862,0.00021182867618537744,True,True
2261.475,2231.1801874999996,59.69766,0.168133,0.270335,2.25406,12.847345,20000000.0,0.21923399999999998,0.00023705235605343803,0.00020367375341386618,True,True
2261.5,2231.20375,60.420895,0.174258,0.275201,2.246923,12.709207,20000000.0,0.22472949999999997,0.0002312555148612863,0.00019918567739382197,True,True
2261.525,2231.2273125,60.524603,0.177623,0.275945,2.244602,12.620682,20000000.0,0.22678399999999999,0.00022916050615131328,0.00019756090817644106,True,True
2261.55,2231.250875,59.622568,0.179467,0.271798,2.246623,12.60445,20000000.0,0.22563249999999999,0.00023033001108891418,0.00019846809176164704,True,True
2261.575,2231.2744374999997,57.370896,0.180263,0.267684,2.250699,12.705878,20000000.0,0.2239735,0.00023203609456931034,0.00019979067347795505,True,True
2261.6,2231.298,54.664161,0.179842,0.264402,2.255173,12.804638,20000000.0,0.222122,0.00023397023359693963,0.00020128887202469772,True,True
2261.625,2231.3215625,52.090212,0.1786,0.263277,2.25828,12.868253,20000000.0,0.22093849999999998,0.0002352235406098051,0.000202259031277095,True,True
2261.65,2231.345125,50.887961,0.177101,0.262877,2.260612,12.93888,20000000.0,0.21998900000000002,0.00023623879478982775,0.00020304453970717616,True,True
2261.675,2231.3686875000003,51.101707,0.175093,0.26274,2.26341,13.076492,20000000.0,0.21891649999999999,0.00023739615893283254,0.00020393958790716475,True,True
2261.7,2231.39225,52.740673,0.172569,0.260912,2.267247,13.210361,20000000.0,0.2167405,0.00023977953463713255,0.00020578140119805924,True,True
2261.725,2231.4158125,54.610259,0.170483,0.256255,2.272347,13.274606,20000000.0,0.213369,0.00024356835447988896,0.00020870554811671632,True,True
2261.75,2231.439375,56.639152,0.169411,0.252049,2.278584,13.277659,20000000.0,0.21073000000000003,0.0002466185935890448,0.00021105636470451875,True,True
2261.775,2231.4629375,58.050642,0.168647,0.247916,2.286263,13.159446,20000000.0,0.2082815,0.00024951777391184253,0.0002132880662870674,True,True
2261.8,2231.4865,58.88654,0.167753,0.244429,2.294715,12.921538,20000000.0,0.20609100000000002,0.00025216984840201374,0.00021532728275387524,True,True
2261.825,2231.5100625,59.691894,0.167367,0.238396,2.304259,12.712962,20000000.0,0.2028815,0.00025615906934353027,0.00021839062010535907,True,True
2261.85,2231.533625,61.550935,0.167602,0.231496,2.314571,12.639501,20000000.0,0.199549,0.0002604369664945423,0.00022167033812177682,True,True
2261.875,2231.5571875,63.962042,0.167799,0.224134,2.325556,12.671969,20000000.0,0.1959665,0.0002651980630721038,0.00022531418351501038,True,True
2261.9,2231.58075,66.228143,0.167834,0.217752,2.335346,12.718265,20000000.0,0.192793,0.0002695633981888317,0.00022864939084771277,True,True
2261.925,2231.6043125,67.151421,0.167849,0.212302,2.342534,12.687536,20000000.0,0.1900755,0.0002734173327284128,0.0002315893887495519,True,True
2261.95,2231.6278749999997,67.190529,0.167207,0.209772,2.346891,12.595032,20000000.0,0.18848949999999998,0.00027571793774729857,0.00023334244154706631,True,True
2261.975,2231.6514374999997,65.270641,0.165255,0.21048,2.350216,12.506327,20000000.0,0.18786750000000002,0.0002766307968489463,0.00023403763098119802,True,True
2262.0,2231.675,61.542584,0.162081,0.211382,2.353273,12.513519,20000000.0,0.1867315,0.00027831370832997874,0.0002353186545445835,True,True
2262.025,2231.6985625,57.582142,0.157996,0.208021,2.357138,12.630988,20000000.0,0.18300850000000002,0.00028397553243165985,0.000239622750353822,True,True
2262.05,2231.7221250000002,55.521989,0.153949,0.203357,2.362787,12.769598,20000000.0,0.178653,0.0002908987603175957,0.00024487412762988194,True,True
2262.075,2231.7456875,55.016119,0.152079,0.198448,2.37044,12.817505,20000000.0,0.17526350000000002,0.00029652458285392804,0.0002491321934080731,True,True
2262.1,2231.76925,54.980242,0.154147,0.193916,2.377527,12.763746,20000000.0,0.1740315,0.0002986237332150756,0.0002507189190990477,True,True
2262.125,2231.7928125,55.036024,0.159819,0.188963,2.382486,12.634694,20000000.0,0.174391,0.00029800813245534134,0.0002502537088881283,True,True
2262.15,2231.816375,55.27076,0.166865,0.187271,2.384226,12.562779,20000000.0,0.177068,0.0002935027008099681,0.000246846009124285,True,True
2262.175,2231.8399375,54.741566,0.172538,0.188843,2.382161,12.593686,20000000.0,0.1806905,0.0002876185312842647,0.00024238759869589098,True,True
2262.2,2231.8635,53.656378,0.174424,0.193357,2.375791,12.758509,20000000.0,0.1838905,0.0002826134913278251,0.00023858812248676707,True,True
