DEPT,TVD,ROP,gr,dtc,DTS,mss,sphi_wyllie
2960.3,2328.335,25.35,61.42,77.38,,2323.635,0.21116607773851587
2960.4,2328.335,26.47,61.76,78.48,,2323.635,0.21893992932862194
2960.5,2328.334,27.037,61.51,79.36,,2323.634,0.2251590106007067
2960.6,2328.333,26.708,61.75,79.36,,2323.6330000000003,0.2251590106007067
2960.7,2328.333,26.391,61.73,79.23,,2323.6330000000003,0.22424028268551238
2960.8,2328.332,26.29,61.53,79.48,,2323.632,0.22600706713780921
2960.9,2328.332,26.267,61.85,78.14,,2323.632,0.21653710247349825
2961.0,2328.331,25.283,62.17,77.57,,2323.6310000000003,0.21250883392226144
2961.1,2328.331,24.254,62.44,76.02,,2323.6310000000003,0.2015547703180212
2961.2,2328.33,23.228,63.37,75.9,,2323.63,0.20070671378091876
2961.3,2328.329,22.01,63.89,75.2,,2323.6290000000004,0.19575971731448766
2961.4,2328.329,20.435,64.12,75.2,,2323.6290000000004,0.19575971731448766
2961.5,2328.328,18.134,64.71,75.2,,2323.628,0.19575971731448766
2961.6,2328.327,16.306,65.15,75.68,,2323.6270000000004,0.19915194346289758
2961.7,2328.327,15.268,64.95,75.83,,2323.6270000000004,0.2002120141342756
2961.8,2328.326,14.299,64.91,76.56,,2323.626,0.20537102473498234
2961.9,2328.325,13.697,65.05,76.97,,2323.625,0.20826855123674912
2962.0,2328.325,13.448,65.11,77.05,,2323.625,0.2088339222614841
2962.1,2328.324,13.487,64.87,77.32,,2323.6240000000003,0.2107420494699646
2962.2,2328.323,14.089,64.23,77.27,,2323.623,0.21038869257950527
2962.3,2328.323,14.811,65.0,77.08,,2323.623,0.20904593639575972
2962.4,2328.322,15.12,64.65,76.75,,2323.6220000000003,0.2067137809187279
2962.5,2328.321,15.572,64.51,76.85,,2323.621,0.2074204946996466
2962.6,2328.32,16.374,65.14,76.6,,2323.6200000000003,0.2056537102473498
2962.7,2328.32,16.62,65.44,77.0,,2323.6200000000003,0.20848056537102475
2962.8,2328.319,16.969,65.46,76.96,,2323.619,0.2081978798586572
2962.9,2328.318,16.729,65.78,77.9,,2323.6180000000004,0.21484098939929333
2963.0,2328.317,16.604,66.55,78.67,,2323.617,0.22028268551236752
2963.1,2328.316,16.846,66.75,78.86,,2323.616,0.22162544169611306
2963.2,2328.315,16.897,65.2,79.0,,2323.6150000000002,0.2226148409893993
2963.3,2328.315,16.499,64.56,79.74,,2323.6150000000002,0.22784452296819785
2963.4,2328.314,16.253,63.95,79.69,,2323.614,0.2274911660777385
2963.5,2328.313,16.175,62.13,79.66,,2323.6130000000003,0.22727915194346288
2963.6,2328.312,15.432,60.52,79.6,,2323.612,0.22685512367491162
2963.7,2328.311,14.879,60.09,79.54,,2323.6110000000003,0.22643109540636047
2963.8,2328.31,14.008,58.88,78.8,,2323.61,0.2212014134275618
2963.9,2328.309,13.463,58.64,78.47,,2323.6090000000004,0.21886925795053003
2964.0,2328.308,13.128,60.59,77.81,,2323.608,0.21420494699646644
2964.1,2328.307,12.898,60.97,77.57,,2323.607,0.21250883392226144
2964.2,2328.307,13.105,62.76,77.45,,2323.607,0.21166077738515904
2964.3,2328.306,13.154,63.84,77.26,,2323.606,0.21031802120141346
2964.4,2328.305,13.326,65.21,77.16,,2323.605,0.20961130742049466
2964.5,2328.304,13.602,66.15,77.11,,2323.6040000000003,0.20925795053003532
2964.6,2328.303,14.13,65.95,77.12,,2323.603,0.20932862190812723
2964.7,2328.302,14.126,65.72,77.3,,2323.6020000000003,0.2106007067137809
2964.8,2328.301,14.371,65.54,77.27,,2323.601,0.21038869257950527
2964.9,2328.3,14.101,65.2,77.08,,2323.6000000000004,0.20904593639575972
2965.0,2328.299,13.801,64.37,77.04,,2323.599,0.20876325088339226
2965.1,2328.298,13.705,64.2,76.88,,2323.598,0.20763250883392223
2965.2,2328.296,13.625,63.45,75.39,,2323.596,0.19710247349823323
2965.3,2328.295,14.026,63.16,75.07,,2323.5950000000003,0.19484098939929323
2965.4,2328.294,14.408,62.29,74.27,,2323.594,0.18918727915194344
2965.5,2328.293,13.969,62.68,73.68,,2323.5930000000003,0.185017667844523
2965.6,2328.292,14.32,62.72,73.74,,2323.592,0.18544169611307418
2965.7,2328.291,14.838,62.83,73.93,,2323.5910000000003,0.18678445229681984
2965.8,2328.29,14.378,62.93,74.27,,2323.59,0.18918727915194344
2965.9,2328.289,13.958,63.25,74.49,,2323.5890000000004,0.19074204946996462
2966.0,2328.288,13.102,63.25,74.61,,2323.588,0.19159010600706713
2966.1,2328.286,13.023,63.01,75.28,,2323.5860000000002,0.19632508833922263
2966.2,2328.285,12.845,63.26,76.03,,2323.585,0.20162544169611307
2966.3,2328.284,12.21,62.92,76.65,,2323.5840000000003,0.20600706713780922
2966.4,2328.283,11.987,62.86,76.86,,2323.583,0.20749116607773851
2966.5,2328.282,12.549,62.1,76.88,,2323.5820000000003,0.20763250883392223
2966.6,2328.281,10.503,61.22,77.1,,2323.581,0.20918727915194343
2966.7,2328.279,10.332,61.14,77.01,,2323.579,0.20855123674911663
2966.8,2328.278,9.941,61.38,76.86,,2323.578,0.20749116607773851
2966.9,2328.277,9.795,61.82,76.62,,2323.577,0.2057950530035336
2967.0,2328.276,9.735,61.78,76.64,,2323.576,0.2059363957597173
2967.1,2328.274,10.133,62.07,76.2,,2323.574,0.20282685512367493
2967.2,2328.273,11.301,62.55,76.24,,2323.5730000000003,0.20310954063604236
2967.3,2328.272,12.38,62.66,76.03,,2323.572,0.20162544169611307
2967.4,2328.27,13.845,62.52,76.59,,2323.57,0.20558303886925797
2967.5,2328.269,15.633,62.36,76.89,,2323.569,0.20770318021201414
2967.6,2328.268,22.268,62.65,76.94,,2323.568,0.2080565371024735
2967.7,2328.266,22.866,62.55,77.16,,2323.5660000000003,0.20961130742049466
2967.8,2328.265,23.653,62.95,77.43,,2323.565,0.21151943462897532
2967.9,2328.264,24.219,62.83,77.92,,2323.5640000000003,0.21498233215547705
2968.0,2328.262,25.053,62.96,78.16,,2323.5620000000004,0.21667844522968197
