DEPT,gr,GR_NRM,res_ln,MINV,MNOR,nphi,res_sn,SP,SP_NRM,mss
2306.8,70.818,89.175,982.855,,,0.121,,7.473,-82.929,2302.8
2306.9,71.212,89.885,978.5,,,0.12,,78.48,-39.523,2302.9
2307.0,71.212,89.885,252.308,,226.768,0.119,95.909,75.575,-41.299,2303.0
2307.1,71.212,89.885,256.738,256.818,230.536,0.117,95.79,72.669,-43.075,2303.1
2307.2,72.0,91.306,261.007,256.838,243.124,0.115,95.703,69.764,-44.851,2303.2
2307.3,72.727,92.618,265.079,257.354,255.712,0.112,95.646,66.858,-46.627,2303.3
2307.4,73.519,94.045,268.92,257.433,242.301,0.11,95.618,63.953,-48.403,2303.4
2307.5,73.816,94.582,272.496,257.513,235.827,0.107,95.615,61.047,-50.179,2303.5
2307.6,74.114,95.118,275.773,257.596,246.333,0.104,95.635,58.142,-51.956,2303.6
2307.7,74.411,95.654,278.715,257.695,256.84,0.102,95.677,55.236,-53.732,2303.7
2307.8,74.708,96.19,281.288,257.794,257.576,0.1,95.739,49.418,-57.288,2303.8
2307.9,75.006,96.727,283.459,246.384,257.576,0.098,95.817,36.573,-65.14,2303.9
2308.0,75.303,97.263,285.192,228.939,255.859,0.096,95.909,23.727,-72.992,2304.0
2308.1,75.6,97.799,286.592,225.677,251.365,0.094,96.053,10.882,-80.845,2304.1
2308.2,75.898,98.335,287.802,227.263,245.413,0.092,96.274,-1.964,-88.697,2304.2
2308.3,76.195,98.872,288.85,222.067,237.823,0.09,96.554,-1.667,-88.515,2304.3
2308.4,76.492,99.408,289.761,215.525,230.234,0.089,96.874,1.239,-86.739,2304.4
2308.5,76.79,99.944,290.563,210.934,222.644,0.088,97.218,4.144,-84.963,2304.5
2308.6,77.087,100.48,291.28,211.199,215.153,0.087,97.565,7.05,-83.187,2304.6
2308.7,77.72,101.621,291.941,211.463,215.285,0.086,97.899,9.956,-81.411,2304.7
2308.8,77.591,101.389,292.572,211.727,215.417,0.085,98.201,12.861,-79.635,2304.8
2308.9,76.72,99.818,293.198,212.422,215.55,0.085,98.453,15.767,-77.859,2304.9
2309.0,79.151,104.203,293.846,213.611,216.244,0.086,98.636,18.672,-76.083,2305.0
2309.1,81.055,107.635,294.572,214.801,219.316,0.088,98.748,21.578,-74.306,2305.1
2309.2,82.958,111.067,295.359,215.99,222.389,0.091,98.794,23.675,-73.024,2305.2
2309.3,84.867,114.512,296.123,220.75,228.968,0.095,98.773,25.7,-71.786,2305.3
2309.4,87.841,119.874,296.782,219.874,231.78,0.1,98.684,27.725,-70.549,2305.4
2309.5,90.814,125.237,297.251,216.525,225.669,0.104,98.523,29.75,-69.311,2305.5
2309.6,93.788,130.599,297.447,217.02,227.387,0.109,98.29,31.775,-68.073,2305.6
2309.7,96.761,135.962,297.288,217.981,229.022,0.113,97.982,33.799,-66.835,2305.7
2309.8,99.735,141.324,296.691,220.994,230.291,0.116,97.598,35.824,-65.598,2305.8
2309.9,98.259,138.663,295.571,224.007,231.56,0.118,97.135,37.849,-64.36,2305.9
2310.0,96.347,135.215,293.846,227.02,232.828,0.119,96.591,39.874,-63.122,2306.0
2310.1,94.436,131.768,290.514,222.392,218.066,0.12,95.918,41.899,-61.885,2306.1
2310.2,92.525,128.321,284.92,217.764,215.079,0.121,95.093,43.923,-60.647,2306.2
2310.3,90.613,124.874,277.507,213.135,216.356,0.122,94.15,45.582,-59.633,2306.3
2310.4,88.701,121.426,268.713,211.596,217.632,0.123,93.125,46.825,-58.873,2306.4
2310.5,85.947,116.459,258.98,210.665,217.546,0.123,92.052,48.068,-58.113,2306.5
2310.6,82.556,110.343,248.747,210.98,216.428,0.124,90.968,49.311,-57.353,2306.6
2310.7,79.164,104.226,238.456,211.421,215.311,0.123,89.907,50.554,-56.594,2306.7
2310.8,75.773,98.11,228.547,212.928,215.562,0.123,88.904,51.797,-55.834,2306.8
2310.9,72.381,91.994,219.459,214.435,217.823,0.122,87.996,53.04,-55.074,2306.9
2311.0,68.99,85.877,211.635,215.943,220.084,0.12,87.216,54.283,-54.314,2307.0
2311.1,65.599,79.761,204.218,217.45,222.345,0.119,86.534,55.526,-53.554,2307.1
2311.2,62.207,73.645,196.29,218.957,222.02,0.117,85.897,56.769,-52.794,2307.2
2311.3,59.5,68.763,188.191,218.904,220.025,0.115,85.302,58.012,-52.035,2307.3
2311.4,60.606,70.758,180.263,215.845,218.03,0.113,84.749,59.255,-51.275,2307.4
2311.5,60.606,70.758,172.847,215.52,219.276,0.111,84.237,60.498,-50.515,2307.5
2311.6,62.879,74.856,166.284,218.632,224.596,0.109,83.767,61.741,-49.755,2307.6
2311.7,62.879,74.856,160.914,221.744,230.386,0.107,83.335,62.984,-48.995,2307.7
2311.8,63.696,76.329,157.081,221.323,233.886,0.106,82.943,64.227,-48.235,2307.8
2311.9,66.628,81.618,155.124,218.702,230.428,0.104,82.589,65.485,-47.466,2307.9
2312.0,69.561,86.907,155.385,219.899,232.677,0.103,82.273,67.921,-45.978,2308.0
2312.1,72.493,92.195,157.334,220.505,233.648,0.102,82.023,70.356,-44.489,2308.1
2312.2,75.426,97.484,160.135,213.828,231.026,0.101,81.87,72.792,-43.0,2308.2
2312.3,78.358,102.773,163.667,212.509,228.404,0.1,81.811,75.228,-41.511,2308.3
2312.4,81.291,108.062,167.807,212.669,225.782,0.099,81.845,77.663,-40.022,2308.4
2312.5,84.224,113.35,172.435,212.828,222.096,0.098,81.969,80.099,-38.533,2308.5
2312.6,87.156,118.639,177.43,211.924,216.385,0.097,82.183,82.534,-37.045,2308.6
2312.7,90.089,123.928,182.671,210.528,215.815,0.097,82.484,84.97,-35.556,2308.7
2312.8,93.021,129.217,188.036,209.374,215.245,0.097,82.87,87.406,-34.067,2308.8
2312.9,95.954,134.505,193.404,209.573,214.675,0.097,83.34,89.841,-32.578,2308.9
2313.0,98.886,139.794,198.654,209.773,214.105,0.097,83.892,92.277,-31.089,2309.0
2313.1,98.103,138.381,203.863,212.158,217.23,0.097,84.641,94.712,-29.601,2309.1
2313.2,95.044,132.864,209.171,215.882,222.616,0.098,85.662,97.148,-28.112,2309.2
2313.3,91.985,127.347,214.555,219.606,228.002,0.099,86.889,99.583,-26.623,2309.3
2313.4,88.926,121.831,219.991,223.33,233.389,0.099,88.26,99.625,-26.597,2309.4
2313.5,85.867,116.314,225.453,220.707,231.323,0.1,89.71,96.808,-28.32,2309.5
2313.6,82.808,110.798,230.917,218.939,227.653,0.101,91.175,93.99,-30.042,2309.6
2313.7,79.012,103.951,236.359,217.603,223.982,0.101,92.592,91.173,-31.764,2309.7
2313.8,75.155,96.996,241.754,213.113,222.202,0.102,93.896,88.355,-33.486,2309.8
2313.9,71.298,90.04,247.079,212.381,221.404,0.102,95.023,85.538,-35.209,2309.9
2314.0,67.441,83.084,252.308,211.65,220.606,0.103,95.909,82.72,-36.931,2310.0
2314.1,63.584,76.129,257.3,210.918,219.808,0.103,96.63,79.903,-38.653,2310.1
2314.2,60.947,71.373,261.904,210.429,214.965,0.103,97.291,77.525,-40.107,2310.2
2314.3,62.443,74.071,266.081,210.762,216.361,0.103,97.879,76.638,-40.649,2310.3
2314.4,63.939,76.769,269.79,211.094,217.758,0.103,98.378,75.751,-41.191,2310.4
2314.5,65.436,79.468,272.992,211.427,218.703,0.103,98.772,74.864,-41.734,2310.5
2314.6,66.932,82.166,275.646,212.518,219.451,0.103,99.046,73.977,-42.276,2310.6
2314.7,68.428,84.864,277.714,214.612,220.199,0.103,99.184,73.089,-42.818,2310.7
2314.8,69.924,87.563,279.156,216.707,220.947,0.104,99.172,72.202,-43.361,2310.8
2314.9,71.421,90.261,279.931,214.051,221.695,0.104,98.995,71.315,-43.903,2310.9
2315.0,71.843,91.024,280.0,210.859,219.697,0.105,98.636,70.428,-44.445,2311.0
2315.1,71.644,90.664,277.247,211.087,217.6,0.106,98.128,69.541,-44.987,2311.1
2315.2,71.444,90.304,270.232,211.315,218.079,0.108,97.52,68.653,-45.53,2311.2
2315.3,71.245,89.944,259.933,211.543,218.558,0.11,96.826,68.888,-45.386,2311.3
2315.4,72.462,92.139,247.326,211.771,218.764,0.112,96.058,70.396,-44.464,2311.4
2315.5,73.958,94.838,233.386,213.687,217.9,0.113,95.229,71.904,-43.542,2311.5
2315.6,75.454,97.536,219.091,211.424,217.035,0.115,94.352,73.413,-42.621,2311.6
2315.7,76.951,100.235,205.417,211.624,216.171,0.116,93.441,74.921,-41.699,2311.7
2315.8,78.447,102.933,193.34,211.823,216.271,0.117,92.507,76.429,-40.777,2311.8
2315.9,76.785,99.936,183.837,213.255,217.787,0.116,91.564,77.937,-39.855,2311.9
2316.0,74.192,95.259,177.885,213.737,219.303,0.115,90.625,79.445,-38.933,2312.0
2316.1,71.599,90.582,174.16,212.939,220.32,0.115,89.572,80.954,-38.011,2312.1
2316.2,69.005,85.905,170.724,213.192,219.762,0.114,88.319,82.462,-37.089,2312.2
2316.3,66.412,81.228,167.628,214.123,219.203,0.112,86.925,83.97,-36.167,2312.3
2316.4,63.818,76.551,164.922,213.828,218.644,0.111,85.449,85.478,-35.245,2312.4
2316.5,61.225,71.874,162.657,213.03,218.086,0.11,83.951,86.986,-34.323,2312.5
2316.6,59.798,69.3,160.883,212.444,217.527,0.109,82.488,90.265,-32.319,2312.6
2316.7,63.788,76.496,159.651,212.843,216.969,0.108,81.121,93.958,-30.061,2312.7
2316.8,67.778,83.692,159.011,213.242,222.701,0.106,79.908,97.652,-27.803,2312.8
2316.9,71.768,90.887,159.014,220.853,229.045,0.105,78.908,101.346,-25.546,2312.9
2317.0,75.758,98.083,159.712,232.424,235.389,0.104,78.182,105.039,-23.288,2313.0
2317.1,79.748,105.278,161.324,243.995,241.733,0.103,78.073,108.733,-21.03,2313.1
2317.2,83.737,112.474,163.851,255.566,248.077,0.102,78.767,112.426,-18.772,2313.2
2317.3,87.727,119.669,167.01,,254.421,0.1,80.078,116.12,-16.515,2313.3
2317.4,91.717,126.865,170.518,,,0.099,81.824,119.813,-14.257,2313.4
2317.5,95.707,134.06,174.093,257.323,,0.098,83.821,123.507,-11.999,2313.5
2317.6,94.352,131.616,177.452,255.057,257.071,0.096,85.884,127.2,-9.741,2313.6
2317.7,90.521,124.708,180.313,249.63,251.904,0.095,87.831,130.893,-7.484,2313.7
2317.8,86.691,117.8,182.392,244.204,245.321,0.094,89.478,134.587,-5.226,2313.8
2317.9,84.724,114.253,183.408,243.788,247.172,0.093,90.641,136.101,-4.301,2313.9
2318.0,84.485,113.822,183.077,258.151,,0.092,91.136,135.594,-4.61,2314.0
2318.1,84.246,113.39,181.945,,,0.094,91.229,135.087,-4.92,2314.1
2318.2,82.055,109.439,180.749,,,0.096,91.308,134.58,-5.23,2314.2
