DEPT,CGXT,SMTU,gr,nprl,CLDC,DCOR,den,pe,dprl,GRGM,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRS,DPRD,HDEN,CILS,CILM,CILD,res_ilm,res_ild,BIT,mss
2365.6,95.420872,2507.25,25.153854,0.035584,6.144034,-0.004105,2.58756,5.310025,0.061686,69.379376,0.000479,0.000222,0.027496,0.066978,0.025873,0.061686,0.027565,0.141969,2.604518,280.568909,91.324969,67.569907,10.953478,14.801127,6.125,2329.5724137931034
2365.625,95.381554,2504.0,24.483747,0.033344,6.149944,-0.005026,2.594508,5.24161,0.064966,69.453296,0.000479,0.000223,0.025423,0.063957,0.023705,0.064966,0.030965,0.144969,2.598908,272.687787,91.659665,67.085696,10.911784,14.909321,6.125,2329.596077586207
2365.65,95.344098,2500.25,24.847762,0.03143,6.153323,-0.004827,2.601487,5.156172,0.064432,69.184682,0.00048,0.000223,0.02365,0.061371,0.021853,0.064432,0.030412,0.144481,2.599821,265.148199,91.45537,66.481845,10.936839,15.045506,6.125,2329.61974137931
2365.675,95.338512,2498.0,25.842249,0.030036,6.154679,-0.003941,2.607592,5.075348,0.053838,69.403612,0.00048,0.000223,0.022357,0.059485,0.020503,0.053838,0.019432,0.134793,2.617937,258.118073,90.829639,65.835014,11.012781,15.192814,6.125,2329.6434051724136
2365.7,95.387218,2499.0,27.149366,0.029203,6.154913,-0.002507,2.612654,5.029417,0.041851,70.038501,0.00048,0.000223,0.021582,0.058354,0.019696,0.041851,0.007009,0.123831,2.638436,251.398279,90.05145,65.270061,11.106712,15.323135,6.125,2329.667068965517
2365.725,95.432045,2512.75,28.776822,0.028812,6.154949,-0.000848,2.615968,5.002949,0.032883,70.438301,0.00048,0.000223,0.021217,0.057823,0.019317,0.032883,-0.002285,0.115631,2.65377,245.556131,89.373129,64.901192,11.18985,15.409038,6.125,2329.6907327586205
2365.75,95.426324,2521.25,30.505144,0.028628,6.154875,0.000696,2.616839,4.998719,0.033103,69.89187,0.00048,0.000223,0.021042,0.057573,0.019139,0.033103,-0.002057,0.115832,2.653394,240.882394,88.802246,64.729904,11.261722,15.449143,6.125,2329.714396551724
2365.775,95.410452,2521.25,31.719181,0.028462,6.154285,0.002084,2.615708,5.005031,0.03492,69.312093,0.00048,0.000223,0.020876,0.057345,0.018977,0.03492,-0.000174,0.117493,2.650288,237.334195,88.238145,64.69713,11.334397,15.456837,6.125,2329.7380603448273
2365.8,95.419456,2520.5,32.196633,0.02822,6.151448,0.003514,2.613639,5.037555,0.038438,68.995517,0.000479,0.000222,0.020634,0.057015,0.018742,0.038438,0.003472,0.120711,2.644271,234.864972,87.694745,64.777802,11.404968,15.437651,6.125,2329.761724137931
2365.825,95.408783,2517.75,32.086383,0.027847,6.144419,0.005158,2.611403,5.090529,0.041343,68.540022,0.000478,0.000221,0.020265,0.056507,0.018381,0.041343,0.006482,0.123367,2.639304,233.071188,87.166882,64.899332,11.473497,15.408636,6.125,2329.785387931034
