DEPTH,gr,neut_counts,mss
2257.9839,3.6735,126.8172,2251.9839
2258.1365,3.4164,119.6189,2252.1365
2258.2888,3.3022,113.2675,2252.2888
2258.4412,3.5602,117.5326,2252.4412
2258.5935,3.4747,131.8984,2252.5935
2258.7458,3.4606,130.6281,2252.7458
2258.8984,3.4896,121.7361,2252.8984
2259.0508,3.5901,136.1327,2253.0508
2259.2031,3.8623,135.2858,2253.2031
2259.3555,4.1059,135.7092,2253.3555
2259.5081,4.049,139.9435,2253.5081
2259.6604,3.7918,132.3218,2253.6604
2259.8127,3.5919,127.2406,2253.8127
2259.9651,3.392,123.4298,2253.9651
2260.1174,3.1777,127.2406,2254.1174
2260.27,3.2209,130.2047,2254.27
2260.4224,3.1498,130.2047,2254.4224
2260.5747,3.3361,130.2047,2254.5747
2260.7271,3.4222,130.2047,2254.7271
2260.8796,3.3368,129.3578,2254.8796
2261.032,3.3658,126.8172,2255.032
2261.1843,3.4377,118.3486,2255.1843
2261.3367,3.3665,111.5737,2255.3367
2261.4893,3.3812,118.3486,2255.4893
2261.6416,3.4816,120.8892,2255.6416
2261.7939,3.439,122.1595,2255.7939
2261.9463,3.2677,125.5469,2255.9463
2262.0986,3.4254,130.6281,2256.0986
2262.2512,3.5402,136.1327,2256.2512
2262.4036,3.6693,136.9795,2256.4036
2262.5559,3.7842,134.8624,2256.5559
2262.7083,3.8703,134.8624,2256.7083
2262.8608,3.8993,136.1327,2256.8608
2263.0132,3.8567,139.5201,2257.0132
2263.1655,3.7426,142.9075,2257.1655
2263.3179,3.7,141.6373,2257.3179
2263.4705,3.6717,134.0155,2257.4705
2263.6228,3.6292,130.1299,2257.6228
2263.7751,3.558,124.2766,2257.7751
2263.9275,3.4296,119.6189,2257.9275
2264.0798,3.5301,121.7361,2258.0798
2264.2324,3.788,124.7001,2258.2324
2264.3848,3.817,126.8172,2258.3848
2264.5371,3.8602,127.6641,2258.5371
2264.6895,3.9178,128.0875,2258.6895
2264.842,4.0326,128.5109,2258.842
2264.9944,4.0615,128.9344,2258.9944
2265.1467,3.7471,130.2047,2259.1467
2265.2991,3.8333,131.0515,2259.2991
2265.4517,3.7336,132.7452,2259.4517
2265.604,3.6623,134.4389,2259.604
2265.7563,3.7486,136.1327,2259.7563
2265.9087,3.7918,140.7904,2259.9087
2266.061,3.8351,147.5653,2260.061
2266.2136,3.8783,139.5201,2260.2136
2266.366,3.9645,137.8264,2260.366
2266.5183,4.0507,138.2498,2260.5183
2266.6707,4.0081,138.6732,2260.6707
2266.8232,3.9798,139.6872,2260.8232
2266.9756,4.0661,140.5082,2260.9756
2267.1279,4.0664,142.0607,2261.1279
2267.2803,3.7235,144.1778,2261.2803
2267.4329,3.5091,147.1418,2261.4329
2267.5852,3.6669,150.1059,2261.5852
2267.7375,3.7244,153.0699,2261.7375
2267.8899,3.5388,157.3042,2261.8899
2268.0422,3.3961,178.4756,2262.0422
2268.1948,3.2105,172.9711,2262.1948
2268.3472,3.0106,169.1602,2262.3472
2268.4995,3.1254,170.8539,2262.4995
2268.6519,3.2688,177.6288,2262.6519
2268.8044,3.3835,175.5116,2262.8044
2268.9568,3.5126,171.7008,2262.9568
2269.1091,3.3985,165.3456,2263.1091
2269.2615,3.2272,149.6824,2263.2615
2269.4141,3.0702,136.9795,2263.4141
2269.5664,2.8989,131.8984,2263.5664
2269.7188,2.699,128.0875,2263.7188
2269.8711,2.4418,124.2766,2263.8711
2270.0234,2.5137,122.1595,2264.0234
2270.176,2.7859,135.2858,2264.176
2270.3284,2.7146,136.9795,2264.3284
2270.4807,2.5433,137.403,2264.4807
2270.6331,2.4864,136.1327,2264.6331
2270.7856,2.6871,134.0155,2264.7856
2270.938,2.8734,136.1327,2264.938
2271.0903,2.9882,139.5201,2265.0903
2271.2427,2.9314,130.2047,2265.2427
2271.3953,2.7314,124.7001,2265.3953
2271.5476,2.6888,120.8892,2265.5476
2271.7,3.1618,117.9252,2265.7
2271.8523,3.5193,115.3846,2265.8523
2272.0046,3.6483,120.4658,2266.0046
2272.1572,3.477,125.5469,2266.1572
2272.3096,3.6919,131.0515,2266.3096
2272.4619,3.4777,129.3578,2266.4619
2272.6143,3.6498,121.7361,2266.6143
2272.7668,3.736,132.7452,2266.7668
2272.9192,3.6934,133.5921,2266.9192
2273.0715,3.7081,126.8172,2267.0715
2273.2239,3.8514,129.3578,2267.2239
2273.3765,3.8946,134.0155,2267.3765
2273.5288,3.752,136.1327,2267.5288
2273.6812,3.6522,135.2858,2267.6812
2273.8335,3.7384,132.3218,2267.8335
2273.9858,3.9391,128.9344,2267.9858
2274.1384,4.1397,126.8172,2268.1384
2274.2908,4.2974,126.3938,2268.2908
2274.4431,4.7556,126.8172,2268.4431
2274.5955,4.5406,129.3578,2268.5955
2274.748,4.1983,136.9795,2268.748
2274.9004,3.8267,145.0247,2268.9004
2275.0527,3.7411,142.9075,2269.0527
2275.2051,3.6384,141.2138,2269.2051
2275.3577,3.7701,139.9435,2269.3577
2275.51,3.9419,141.0152,2269.51
2275.6624,4.1567,142.7575,2269.6624
2275.8147,4.1998,145.4618,2269.8147
2275.967,3.9425,139.5369,2269.967
2276.1196,3.8568,137.4219,2270.1196
2276.272,3.7425,139.5417,2270.272
2276.4243,3.5567,143.3551,2270.4243
2276.5767,3.471,146.3218,2270.5767
2276.7292,3.5427,149.2884,2270.7292
2276.8816,3.4428,152.6785,2270.8816
2277.0339,3.4286,155.6451,2271.0339
2277.1863,3.5147,159.0352,2271.1863
2277.3389,3.6722,162.0018,2271.3389
2277.4912,3.8011,162.8508,2271.4912
2277.6436,3.6583,157.3494,2271.6436
2277.7959,3.6441,155.2343,2271.7959
2277.9482,3.8589,158.2015,2271.9482
2278.1008,3.7589,164.1316,2272.1008
2278.2532,3.5731,164.9806,2272.2532
2278.4055,3.5447,154.8214,2272.4055
2278.5579,3.6593,147.6257,2272.5579
2278.7104,3.6881,140.0066,2272.7104
2278.8628,3.7455,134.0807,2272.8628
2279.0151,3.8172,147.2102,2273.0151
2279.1675,3.5312,152.7174,2273.1675
2279.3201,3.4456,147.2154,2273.3201
2279.4724,3.6031,142.1369,2273.4724
2279.6248,3.5461,140.4453,2273.6248
2279.7771,3.4032,141.2948,2273.7771
2279.9294,3.2317,148.0723,2273.9294
2280.082,3.0316,154.4263,2274.082
2280.2344,2.9459,159.9336,2274.2344
2280.3867,2.9175,162.9002,2274.3867
2280.5391,2.932,165.02,2274.5391
2280.6917,3.0323,165.8689,2274.6917
2280.844,3.061,161.2144,2274.844
2280.9963,3.0469,157.4061,2274.9963
2281.1487,3.1043,154.4447,2275.1487
