DEPTH,AZIMUTH,DIP_TRU,TYPE,DEPTH_MSS
2380.860632781261,98.86715,2.817486,Bedding: General,2344.0113293400746
2382.815459670521,74.54867,13.13224,Bedding: General,2345.859651867782
2385.103508612157,108.6234,7.763566,Bedding: General,2348.0230415912183
2388.868608409756,152.5803,11.97608,Bedding: General,2351.5830083653623
2390.285787375924,186.6267,88.63103,Fracture: Mixed,2352.922975511994
2391.070230132993,112.7575,5.120214,Bedding: General,2353.664679663678
2392.564041381292,18.31051,11.35043,Bedding: General,2355.077103954311
2394.00074775936,21.07024,11.68871,Bedding: General,2356.435534605574
2395.078661737349,60.35716,65.31679,Fracture: Conductive,2357.4547208564863
2397.664912967284,39.27706,52.28018,Fracture: Mixed,2359.9000659849285
2398.441569302615,78.14766,7.628994,Bedding: General,2360.6344079406103
2399.223696435814,42.37867,9.391273,Bedding: General,2361.37392263
2400.081976969878,97.48946,53.14084,Fracture: Mixed,2362.1854416728984
2401.068811758203,96.28357,69.89351,Fracture: Mixed,2363.1185109796525
2403.877226978229,17.24965,49.95393,Bedding: Deformed,2365.7739159911393
2405.823240587213,20.91247,57.08767,Bedding: Deformed,2367.6147855955032
2406.820189225035,310.5995,8.039625,Bedding: General,2368.557899006883
2407.61694628188,347.9272,78.49326,Fracture: Mixed,2369.3116311826584
2408.843994140625,327.9283,4.122444,Bedding: General,2370.4724184570314
2411.804568563679,320.1133,63.46486,Fracture: Mixed,2373.2731218612403
2414.032107992868,217.7541,11.70225,Bedding: General,2375.3803741612533
2414.829990930771,217.7239,10.10129,Bedding: General,2376.13517142051
2417.928282242507,258.5654,4.624773,Bedding: General,2379.0661550014115
2418.706005030674,244.1964,5.115861,Bedding: General,2379.801880759018
2420.600725390833,231.4562,11.15866,Bedding: General,2381.594286219728
2421.43310546875,227.2573,8.70419,Bedding: General,2382.3817177734372
2423.815342313036,271.2126,82.3511,Fracture: Mixed,2384.635313828132
2425.299691433329,244.0544,14.02748,Bedding: General,2386.039508095929
2425.572385133601,233.3835,13.93325,Bedding: General,2386.297476336387
2432.741077027335,326.3829,7.636854,Bedding: General,2393.079058867859
2434.040771183054,321.3542,6.75529,Bedding: General,2394.3086623287586
2437.440349399825,340.5947,55.17864,Bedding: Deformed,2397.532400292938
2440.023720441872,75.28566,34.58804,Bedding: Deformed,2399.9821486948786
2440.647120744343,270.8759,29.08602,Bedding: Deformed,2400.573304154118
2441.270491992613,330.2326,82.36399,Fracture: Mixed,2401.164432061961
2443.315627206453,295.2576,27.92823,Bedding: Deformed,2403.1037844199122
2446.148933426163,307.1027,37.46469,Fracture: Mixed,2405.790540317913
2446.474824816347,260.4622,11.44375,Bedding: General,2406.0995752568806
2447.724274112838,240.0732,8.983116,Bedding: General,2407.284397865622
2449.085869637102,231.9282,7.240725,Bedding: General,2408.575566035183
2451.077865716629,220.7797,4.661028,Bedding: General,2410.4645278347343
2451.730388066507,235.7933,5.558302,Bedding: General,2411.0832990285844
2452.314715590004,251.5186,6.003415,Bedding: General,2411.637402714659
2454.263671875,239.7136,5.101996,Bedding: General,2413.4855509159484
2455.84130859375,226.3205,7.550864,Bedding: General,2414.9815857354524
2456.458300130806,237.785,7.527992,Bedding: General,2415.5666639171436
2457.576257142645,329.5031,5.931656,Bedding: General,2416.626795566301
2458.283935546875,291.0607,7.19912,Bedding: General,2417.29786991514
2458.367248651207,109.7688,43.95815,Fracture: Mixed,2417.376873720972
2459.285888671875,307.1307,6.571312,Bedding: General,2418.2479978785022
2461.834228515625,286.8846,7.19912,Bedding: General,2420.664527040679
2462.83101423221,286.8846,6.583144,Bedding: General,2421.6097548753714
2466.539306640625,311.0672,7.550864,Bedding: General,2425.1284087456597
2466.973928816912,314.143,8.96549,Bedding: General,2425.540816899603
2468.795848982448,90.34271,55.57229,Fracture: Mixed,2427.2696167011227
2470.01377449439,30.31195,10.43402,Bedding: General,2428.425292686899
2470.979279765538,66.84604,12.03574,Bedding: General,2429.341449910855
2471.378953924581,28.6273,28.5688,Fracture: Conductive,2429.7206962795467
2471.686379968229,276.4826,36.18992,Fracture: Conductive,2430.01240943652
2471.850556317643,70.18272,36.94053,Fracture: Conductive,2430.168194550297
2472.885601217075,241.5703,34.33611,Fracture: Resistive,2431.150337154869
2473.223715884223,218.339,23.84263,Fracture: Resistive,2431.4711704056963
