mMD,mTVD,mSS,inclination_deg,north_m,east_m,vs_m,dominant,grainstone_pct,mudwack_pct,oil_show
908.5,908.49,903.79,0.28625,-1.1107142857142858,-3.2273214285714285,3.413105598689575,shale,0.0,0.0,none
909.5,909.49,904.79,0.28875,-1.112142857142857,-3.2319642857142856,3.417960631550125,shale,0.0,0.0,none
910.5,910.49,905.79,0.29125,-1.1135714285714284,-3.236607142857143,3.422815671888349,shale,0.0,0.0,none
911.5,911.49,906.79,0.29375,-1.115,-3.24125,3.427670719672472,shale,0.0,0.0,none
912.5,912.49,907.79,0.29625,-1.1164285714285713,-3.245892857142857,3.432525774870898,shale,0.0,0.0,none
913.5,913.49,908.79,0.29875,-1.1178571428571429,-3.2505357142857143,3.4373808374522126,shale,0.0,0.0,none
914.5,914.49,909.79,0.30125,-1.1192857142857142,-3.2551785714285715,3.4422359073851747,shale,0.0,0.0,none
915.5,915.49,910.79,0.30375,-1.1207142857142856,-3.2598214285714286,3.4470909846387214,shale,0.0,0.0,none
916.5,916.49,911.79,0.30625,-1.122142857142857,-3.264464285714286,3.4519460691819646,shale,0.0,0.0,none
917.5,917.49,912.79,0.30875,-1.1235714285714284,-3.269107142857143,3.4568011609841887,shale,0.0,0.0,none
918.5,918.49,913.79,0.31125,-1.125,-3.27375,3.46165626001485,shale,0.0,0.0,none
919.5,919.49,914.79,0.31375,-1.1264285714285713,-3.2783928571428573,3.4665113662435783,shale,0.0,0.0,none
920.5,920.49,915.79,0.31625000000000003,-1.1278571428571427,-3.2830357142857145,3.4713664796401704,shale,0.0,0.0,none
921.5,921.49,916.79,0.31875,-1.1292857142857142,-3.2876785714285717,3.4762216001745934,shale,0.0,0.0,none
922.5,922.49,917.79,0.31981481481481483,-1.130925925925926,-3.2905555555555557,3.4794754366325025,shale,0.0,0.0,none
923.5,923.49,918.79,0.3194444444444445,-1.1327777777777777,-3.2916666666666665,3.4811284001414835,shale,0.0,0.0,none
924.5,924.49,919.79,0.31907407407407407,-1.1346296296296294,-3.292777777777778,3.4827819182746182,shale,0.0,0.0,none
925.5,925.49,920.79,0.3187037037037037,-1.1364814814814814,-3.293888888888889,3.4844359902423268,shale,0.0,0.0,none
926.5,926.49,921.79,0.31833333333333336,-1.1383333333333332,-3.295,3.486090615256261,shale,0.0,0.0,none
927.5,927.49,922.79,0.31796296296296295,-1.1401851851851852,-3.296111111111111,3.487745792529309,shale,0.0,0.0,none
928.5,928.49,923.79,0.3175925925925926,-1.142037037037037,-3.297222222222222,3.489401521275587,shale,0.0,0.0,none
929.5,929.49,924.79,0.31722222222222224,-1.1438888888888887,-3.2983333333333333,3.491057800710443,shale,0.0,0.0,none
930.5,930.49,925.79,0.31685185185185183,-1.1457407407407407,-3.2994444444444446,3.49271463005045,shale,0.0,0.0,none
931.5,931.49,926.79,0.3164814814814815,-1.1475925925925925,-3.3005555555555555,3.494372008513408,shale,0.0,0.0,none
932.5,932.49,927.79,0.3161111111111111,-1.1494444444444443,-3.3016666666666667,3.496029935318343,shale,0.0,0.0,none
933.5,933.49,928.79,0.31574074074074077,-1.1512962962962963,-3.3027777777777776,3.4976884096855003,shale,0.0,0.0,none
934.5,934.49,929.79,0.31537037037037036,-1.153148148148148,-3.303888888888889,3.4993474308363495,shale,0.0,0.0,none
935.5,935.49,930.79,0.315,-1.1549999999999998,-3.305,3.5010069979935774,shale,0.0,0.0,none
936.5,936.49,931.79,0.31462962962962965,-1.1568518518518518,-3.306111111111111,3.5026671103810885,shale,0.0,0.0,none
937.5,937.49,932.79,0.31425925925925924,-1.1587037037037036,-3.3072222222222223,3.5043277672240043,shale,0.0,0.0,none
938.5,938.49,933.79,0.3138888888888889,-1.1605555555555556,-3.308333333333333,3.505988967748659,shale,0.0,0.0,none
939.5,939.49,934.79,0.31351851851851853,-1.1624074074074073,-3.3094444444444444,3.507650711182601,shale,0.0,0.0,none
940.5,940.49,935.79,0.3131481481481482,-1.164259259259259,-3.3105555555555553,3.509312996754588,shale,0.0,0.0,none
941.5,941.49,936.79,0.31277777777777777,-1.166111111111111,-3.3116666666666665,3.510975823694589,shale,0.0,0.0,none
942.5,942.49,937.79,0.3124074074074074,-1.1679629629629629,-3.312777777777778,3.5126391912337787,shale,0.0,0.0,none
943.5,943.49,938.79,0.31203703703703706,-1.1698148148148146,-3.3138888888888887,3.5143030986045374,shale,0.0,0.0,none
944.5,944.49,939.79,0.31166666666666665,-1.1716666666666666,-3.315,3.5159675450404513,shale,0.0,0.0,none
