top_mMD,base_mMD,thickness_m,pct_raw,components,dominant,dominant_pct,grainstone_pct,mudwack_pct,oil_show,fluorescence,vuggy,cement_contaminated,description_es,description_en
2385,2390,5,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,none,False,False,False,"MUDSTONE - WACKSTONE BLANCO CAFÉ CLARO Y CREMA , EN PARTE CAFÉ OSCURO, SEMICOMPACTO. TRAZAS DE ARENISCA GRIS CLARO DE GRANO FINO SUBREDONDEADO REUGLAMARMENTE CLASIFICADO Y BIEN CEMENTADO EN MATERIAL ARCILLO CALCAREO. ESPORADICOS FRAGMENTOS DE PEDERNAL GRIS OSCURO, NEGRO. ESPORADICOS FRAGMENTOS DE LUTITA GRIS CLARO Y GRIS VERDOSO SEMIDURA Y LIGERAMENTE CALCAREA.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN AND CREAM,IN PART DARK BROWN, SEMICOMPACT. TRACE LIGHT GRAY SANDSTONE OF FINE GRAIN,  AND SUBWEIGHED, REGULARLY CLASSIFIED AND WELL CEMENTED IN CALCAREOUS CLAY MATERIAL. SPORADICALLY FRAGMENTS GRAY DARK AND DARK CHERT. SPORADICALLY FRAGMENTS LIGHT GRAY AND GREENISH, HALF HARD AND SLIGHTLY CALCAREOUS."
2390,2391,1,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,poor,True,False,False,"MUDSTONE - WACKSTONE BLANCO,CAFÉ CLARO Y CREMA , EN PARTE GRIS CLARO Y OSCURO, SEMICOMPACTO CON POBRE IMPREGNACION DE ACEITE CON FLUORESCENCIA AMARILLO CLARO. TRAZAS DE ARENISCA GRIS CLARO DE GRANO FINO Y MEDIO SUBREDONDEADO Y SUBANGULOSO MAL CLASIFICADO Y BIEN CONSOLIDADO EN MATERIAL ARCILLO CALCAREA . TRAZAS DE LUTITA GRIS CLARO Y GRIS VERDOSO SEMIDURA Y LIGERAMENTE CALCAREO. TRAZAS DE PEDERNAL GRIS CLARO, BLANCO Y TRANSLUCIDO NOTA: ABUNDANTE REBABA METALICA.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN AND CREAM,IN PART LIGHT GRAY AND DARK, SEMICOMPACT. WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. TRACE LIGHT GRAY AND DARK SANDSTONE OF FINE AND MEDIUM GRAIN, SUBANGLE AND SUBWEIGHED, POORLY CLASSIFIED AND WELL CONSOLIDATED IN CALCAREOUS CLAY MATERIAL. TRACES SHALE LIGHT GRAY AND GREENISH, HALF HARD AND SLIGHTLY CALCAREOUS. TRACES LIGHT GRAY, WHITE  AND TRANSLUCENT CHERT. NOTE: ABUNDANT METAL BURR."
2391,2395,4,90 10,mudstone-wackestone|sandstone,mudstone-wackestone,90.0,0.0,90.0,poor,True,False,False,"MUDSTONE - WACKSTONE BLANCO,CAFÉ CLARO Y CREMA , EN PARTE GRIS CLARO Y OSCURO, SEMICOMPACTO CON POBRE IMPREGNACION DE ACEITE CON FLUORESCENCIA AMARILLO CLARO. ARENISCA GRIS CLARO DE GRANO FINO Y MEDIO SUBREDONDEADO Y SUBANGULOSO, MAL CLASIFICADO Y BIEN CONSOLIDADO EN MATERIAL ARCILLO CALCAREO . ESPORADICOS FRAGMENTOS DE LUTITA GRIS CLARO Y GRIS VERDOSO SEMIDURA Y LIGERAMENTE CALCAREA. TRAZAS DE PEDERNAL GRIS CLARO, BLANCO Y TRASULCIDO.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN AND CREAM,IN PART LIGHT GRAY AND DARK, SEMICOMPACT. WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. SANDSTONE LIGHT GRAY  OF FINE AND MEDIUM GRAIN, SUBANGLE AND SUBWEIGHED, POORLY CLASSIFIED AND WELL CONSOLIDATED IN CALCAREOUS CLAY MATERIAL. SPORADICALLY FRAGMENTS OF SHALE LIGHT GRAY AND GREENISH, HALF HARD,SLIGHTLY CALCAREOUS. TRACES LIGHT GRAY, WHITE  AND TRANSLUCENT CHERT."
2395,2400,5,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE BLANCO, GRIS CLARO, PARTES CREMA, SEMICOMPACTO, CON ESCASA IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS  FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO. NOTA: PRESENTA REBABA METALICA.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN IN PART CREAM,SEMICOMPACT. WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS WHITE  AND TRANSLUCENT CHERT. NOTE: PRESENTS METAL BURR."
2400,2415,15,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE BLANCO, GRIS CLARO, PARTES CREMA, SEMICOMPACTO, CON ESCASA IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS  FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR. NOTA: PRESENTA REBABA METALICA.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN IN PART CREAM,SEMICOMPACT. WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS TRANSLUCENT WHITE  AND  AMBER CHERT. NOTE: PRESENTS METAL BURR."
2415,2420,5,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE BLANCO, GRIS CLARO, PARTES CREMA, SEMICOMPACTO, CON ESCASA IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS  FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN IN PART CREAM,SEMICOMPACT. WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS TRANSLUCENT WHITE  AND  AMBER CHERT."
2420,2430,10,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE BLANCO, GRIS CLARO, PARTES GRIS OSCURO,  SEMICOMPACTO, EN PARTES RECRISTALIZADO, CON ESCASA IMPREGNACION DE ACEITE DE  FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR, ESPORADICOS FRAGMENTOS DE ARENISCA DE CUARZO GRIS CLARO, GRANO FINO.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN IN PART DARK,SEMICOMPACT, IN PART RECRYSTALLIZED WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS WITH TRANSLUCENT WHITE  AND AMBER CHERT. SPORADICALLY FRAGMENTS OF  QUARTZ SANDSTONE LIGHT GRAY, FINE GRAIN."
2430,2445,15,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE GRIS CLARO, BLANCO, EN PARTES CREMA, SEMICOMPACTO, EN PARTES RECRISTALIZADO, CON ESCASA IMPREGNACION DE ACEITE DE  FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS  FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR. NOTA: PRESENTA REBABA METALICA. MUDSTONE - WACKSTONE  LIGHT BROWN, WHITE, IN PART CREAM,SEMICOMPACT.  IN PART WITH ECRYSTALLIZED  WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS TRANSLUCENT WHITE  AND  AMBER CHERT.NOTE: PRESENTS METAL BURR.",
2445,2450,5,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE, BLANCO, GRIS CLARO, EN PARTES CREMA,  SEMICOMPACTO, EN PARTES RECRISTALIZADO, CON ESCASA IMPREGNACION DE ACEITE DE  FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR. NOTA: PRESENTA REBABA METALICA.","MUDSTONE - WACKSTONE, WHITE, LIGHT BROWN, IN PART CREAM,SEMICOMPACT.  IN PART WITH RECRYSTALLIZED  WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS TRANSLUCENT WHITE  AND  AMBER CHERT. NOTE: PRESENTS METAL BURR."
2450,2460,10,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,scarce,True,False,False,"MUDSTONE- WACKSTONE GRIS CLARO, BLANCO, EN PARTES CREMA, SEMICOMPACTO, EN PARTES RECRISTALIZADO, CON ESCASA IMPREGNACION DE ACEITE DE  FLUORESCENCIA AMARILLO CLARO, PRESENTA PIRITA DISEMINADA, ESPORADICOS  FRAGMENTOS DE PEDERNAL BLANCO TRASLUCIDO Y AMBAR. NOTA: PRESENTA REBABA METALICA. MUDSTONE - WACKSTONE  LIGHT GRAY, WHITE, IN PART CREAM,SEMICOMPACT.  IN PART WITH RECRYSTALLIZED  WITH SCARCE OIL IMPREGNATION OF YELLOW FLUORESCENCE. WITH DISESEMINATED PYRITE. SPORADICALLY FRAGMENTS TRANSLUCENT WHITE  AND  AMBER CHERT. NOTE: PRESENTS METAL BURR.",
