month_on_production,TEC-2,TEC-6,TEC-7,TEC-9,TEC-10,avg_4_pemex_wells,ifr_workbook_average,ifr_workbook_fit,ifr_tec12_curve
96,12.581023652086138,5.333493787551046,31.291263955188604,6.451807001069816,,13.914397098973902,13.914397098973902,30.42555415197174,34.88768676552119
97,10.666987575102093,167.74698202781516,31.291263955188604,6.129216651016324,,53.95861255228055,53.95861255228055,30.255862398983673,34.678929076434436
98,12.581023652086138,154.00463311553648,28.334185746364938,6.428764833208851,,50.3371518367991,50.3371518367991,30.088794286999914,34.4735101273909
99,12.667047745433736,120.64879092000552,25.48463765422577,6.451807001069816,,41.31307083018371,41.31307083018371,29.924283829664418,34.27134376711865
100,12.581023652086138,120.67029694334245,25.334095490867472,6.333523872716868,,41.22973498975323,41.22973498975323,29.762267327137437,34.072346895829824
101,12.581023652086138,146.4560189242848,25.162047304172276,9.355120151551231,,48.388552508023615,48.388552508023615,29.602683265560447,33.87643932836568
102,12.500376064572766,201.2963784333782,25.162047304172276,6.333523872716868,,61.32308141871004,61.32308141871004,29.445472221860218,33.683543664744654
103,12.581023652086138,187.5056409685915,23.793819267738506,6.451807001069816,,57.5830727223715,57.5830727223715,29.29057677356069,33.493585167646124
104,12.667047745433736,172.58583727861756,12.581023652086138,6.451807001069816,,51.071428919301816,51.071428919301816,29.137941413294676,33.3064916463955
105,10.645481551765196,205.0061674589934,12.667047745433736,6.333523872716868,,58.6630551572273,58.6630551572273,28.987512467729132,33.12219334704842
106,9.000270766492394,239.68463008974362,12.581023652086138,6.451807001069816,,66.92943287734799,66.92943287734799,28.83923802063753,32.94062284819876
107,7.419578051230287,239.67387707807518,12.667047745433736,11.000330936824035,,67.6902084528908,67.6902084528908,28.69306783987142,32.761714962162856
108,6.451807001069816,281.94396594675095,12.581023652086138,6.774397351123305,,76.93779848775755,76.93779848775755,28.54895330799981,32.58540664121591
109,7.66689731960463,293.23462819862306,10.000300851658213,6.774397351123305,,79.4190559302523,79.4190559302523,28.406847356401286,32.41163688857821
110,4.838855250802362,293.00881495358567,5.333493787551046,6.428764833208851,,77.40248220628698,77.40248220628698,28.26670440260762,32.2403466738708
111,6.333523872716868,292.2668571484626,13.871385052300102,6.451807001069816,,79.73089326863735,79.73089326863735,28.128480290711323,32.071478852777894
112,6.451807001069816,292.0087848684198,19.000571618150605,6.333523872716868,,80.94867184008928,80.94867184008928,27.99213223466188,31.904978090671587
113,6.129216651016324,293.23462819862306,18.710240303102463,6.451807001069816,,81.13147303845292,81.13147303845292,27.857618764286897,31.740790789970426
114,6.428764833208851,179.3602346297409,18.710240303102463,6.333523872716868,,52.70819090969227,52.70819090969227,27.724899673884902,31.57886502101863
115,6.451807001069816,110.00330936824034,18.92914089778162,6.451807001069816,,35.459016067040395,35.459016067040395,27.593935973246502,31.419150456286452
116,6.333523872716868,110.32589971829384,18.710240303102463,6.451807001069816,,35.455367723795746,35.455367723795746,27.46468984096973,31.26159830770498
117,9.355120151551231,70.00210596160748,19.000571618150605,6.333523872716868,,26.172830401006546,26.172830401006546,27.337124579943694,31.10616126696123
118,6.333523872716868,20.968372753476896,18.710240303102463,6.451807001069816,,13.11598598259151,13.11598598259151,27.211204574882792,30.95279344858961
119,6.451807001069816,0.9677710501604722,19.000571618150605,6.333523872716868,,8.188418385524441,8.188418385524441,27.086895251800964,30.80145033570688
