month,low_bpd,base_bpd,high_bpd,ifr_2020_bpd
38,20.572906416390847,50.67650771811818,62.58953648845487,59.354224200427595
39,19.976038296281555,49.66075799907031,61.502442853276,58.487980929665014
40,19.40467674854084,48.68300573310215,60.45847315555267,57.65504630694907
41,18.857391547614768,47.74119267417193,59.45499769150304,56.853382435494815
42,18.332851217263517,46.83340538209094,58.48960072679548,56.08112028591724
43,17.829814966275695,45.95786276990587,57.56005890989328,55.33654220716453
44,17.347125381789326,45.11290491047537,56.664322267053606,54.61806659484644
45,16.88370179998669,44.29698295648883,55.80049742389792,53.92423440997681
46,16.438534283361307,43.50865004711091,54.96683275342679,53.25369729039731
47,16.010678141971205,42.7465530906503,54.161705195893454,52.6052070376413
48,15.599248943262317,42.009425326573826,53.38360853383877,51.977606295433844
49,15.203417961315575,41.296079582171146,52.63114293723189,51.36982026375238
50,14.822408021861504,40.60540214951547,51.90300562018314,50.780849315459
51,14.455489704224938,39.93634721730936,51.19798247300329,50.20976240181024
52,14.101977865596028,39.28793179995699,50.51494055221078,49.655691149336725
53,13.76122845675219,38.65923111294025,49.85282132702848,49.11782456421096
54,13.432635601641921,38.04937434943952,49.21063459445138,48.59540427173171
55,13.115628916144633,37.45754081825674,48.587452986499486,48.08772022830751
56,12.809671043887791,36.882956407570795,47.98240700312412,47.59410685161421
57,12.51425538927694,36.32489034297292,47.39468051267806,47.11393952167188
58,12.228904029911533,35.782652211668406,46.82350666911159,46.646631411633685
59,11.953165792351664,35.25558922775333,46.2681642013032,46.19163061226412
60,11.686614476794842,34.74308371613816,45.727974035326014,45.74841751854365
61,11.42884721764219,34.2445507950388,45.202296215119766,45.316502450680694
62,11.179482968199915,33.75943623903279,44.6905270910875,44.89542348513506
63,10.93816109889312,33.28721450651589,44.19209674965784,44.48474447413548
64,10.704540099380722,32.82738691702498,43.70646665992277,44.08405323467457
65,10.478296375865671,32.379479965340174,43.233127516140776,43.69295989014098
66,10.259123135706762,31.943043760567427,42.7715972572411,43.31109534964695
67,10.046729352166736,31.517650579549386,42.3214192465212,42.93810991176971
68,0.0,31.10289352497586,41.88216059653713,42.57367198087958
69,0.0,30.698385279479194,41.453410625776904,42.217466885503704
70,0.0,30.303756947817796,41.03477943510993,41.86919578929777
71,0.0,29.91865697998351,40.62589659324503,41.52857468618723
72,0.0,29.542750168725753,40.2264099215261,41.19533347211311
73,0.0,29.175716715575316,39.83598436936715,40.86921508659011
74,0.0,28.817251359981583,39.45430097249147,40.549974717969164
75,0.0,28.467062566654647,39.08105588690781,40.23737906690409
76,0.0,28.124871766634566,38.715959492240025,39.93120566306169
77,0.0,27.79041264799869,38.35873555863711,39.63124223059564
78,0.0,27.46343049246921,38.00912047203534,39.33728609833309
79,0.0,27.143681554500798,37.66686251303228,39.04914365100546
80,0.0,26.83093247971579,37.33172118506872,38.766629818197806
81,0.0,26.524959759815292,37.003466588007406,38.48956759799715
82,0.0,26.225549221330972,36.68187883354879,38.21778761259577
83,0.0,25.932495545797547,36.36674749924135,37.95112769335205
